model,epoch,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std
CNN_LSTM,1,0.9883051547171577,0.005439040665095247,0.6372996374491661,0.09317663757222852,0.6690873015873016,0.0026226526415648104,0.764781746031746,0.034227915760518444,0.8069072260235103,0.020018091644231364,0.75252051798148,0.046184629988221856
CNN_LSTM,2,0.4701912480119675,0.010406268956177567,0.48714203384394444,0.06432128182304424,0.8377976190476191,0.008579072319278512,0.8253968253968255,0.009227790439867892,0.8907538216977828,0.013192992067602598,0.8234075293248028,0.009348973981917176
CNN_LSTM,3,0.3438038364289298,0.011572884447273581,0.500096611258766,0.08171886089863442,0.8861111111111111,0.006815497851216706,0.8348214285714285,0.022943706990723796,0.9062380918305255,0.019130759012786207,0.8309482544898947,0.026124901946424653
CNN_LSTM,4,0.2725166834914495,0.013308923271749722,0.4386347801993704,0.10786146293705982,0.9128571428571428,0.003689996128530822,0.8518849206349207,0.029931560097520935,0.9340498134565434,0.012833691061600793,0.8522770323089365,0.031082825957625994
CNN_LSTM,5,0.2086450620137509,0.011680380615345138,0.46448919443258396,0.09421527724973341,0.9351984126984126,0.0027679104790901666,0.8519841269841271,0.024274356393257396,0.943204573703464,0.017444741440199602,0.8496801753931171,0.027092922170127744
CNN_LSTM,6,0.15775703278325845,0.02906535768902004,0.4498327990578088,0.04474788474138777,0.9531746031746032,0.010367628335793301,0.870734126984127,0.0032647783079175307,0.9592841390992825,0.013711689992285355,0.8700562614964165,0.003464515411725959
CNN_LSTM,7,0.1273117947814956,0.02205223161154192,0.38550607386148633,0.09228738990159949,0.963234126984127,0.006942204854284328,0.892063492063492,0.014632852434517708,0.9740096033352156,0.013541590617991062,0.8915282123203788,0.014405058690251145
CNN_LSTM,8,0.10709194680291505,0.018369260576226384,0.40483019177521024,0.10691099410528568,0.9699007936507936,0.0061816940147432446,0.8941468253968253,0.010014928860235948,0.9813445019152658,0.004955490129213844,0.8938490084445164,0.010238587939163699
CNN_LSTM,9,0.09212797039321487,0.021397738602233048,0.4011294497847779,0.135902276880836,0.9741666666666666,0.006832804442780981,0.9033730158730159,0.015488586305551562,0.9833918869406547,0.006528586648258077,0.9035796503760513,0.014891707875076118
CNN_LSTM,10,0.07896462171560241,0.011130055570002866,0.44406731741222005,0.11844291027038538,0.9791071428571428,0.002946879474877756,0.8919642857142858,0.015329547928185553,0.9892501008370744,0.003194883425413791,0.891534515577438,0.01561817817423588
