epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1,lr,is_best
1,2.049548102333432,1.9062535288788025,0.5729761904761905,0.4104166666666666,0.5643254001390646,0.3963111574884423,9.779754323328192e-05,0
2,1.3447570373330795,1.5514586742435184,0.7463690476190477,0.5229166666666667,0.7428309770620892,0.5140615158012064,9.140576474687264e-05,0
3,0.990592140243167,1.3559453441983178,0.8311309523809524,0.5952380952380952,0.8290225014613147,0.5889797415258011,8.14503363531613e-05,0
4,0.8058829943622862,1.2900709285622551,0.8867261904761905,0.6351190476190476,0.8864043973810936,0.6318868427811473,6.890576474687264e-05,0
5,0.6992761074361347,1.272853437917573,0.9214285714285714,0.6520833333333333,0.9210843536034669,0.6476850286173103,5.5e-05,0
6,0.6223686668986366,1.268407683287348,0.9404761904761904,0.6601190476190476,0.9402936858244448,0.6560462127606873,4.109423525312737e-05,0
7,0.5728742863734563,1.272637985433851,0.9525,0.6714285714285714,0.9524011758805552,0.667974840413315,2.854966364683872e-05,0
8,0.5389706391379947,1.2619400277024224,0.9597023809523808,0.675,0.959627597281598,0.6704355754690962,1.859423525312737e-05,0
9,0.5162160367341269,1.2683639848516102,0.9647023809523808,0.6794642857142857,0.9646528364302892,0.6755890679141002,1.2202456766718091e-05,0
10,0.5029634618759156,1.2746658827577315,0.964404761904762,0.6827380952380953,0.9643205684924322,0.6781649908911952,0.0001,0
11,0.5236995279221308,1.249546782743363,0.9745833333333334,0.6949404761904762,0.9745679627743616,0.6924245520115089,9.94459753267812e-05,0
12,0.4790217298553103,1.264439310346331,0.9791071428571428,0.6973214285714285,0.9790438774997186,0.6926145774257361,9.779754323328192e-05,0
13,0.4417645283823921,1.2820398309401104,0.9848214285714286,0.7053571428571429,0.9847871838252652,0.7024530543119196,9.509529358847657e-05,0
14,0.4107985101995014,1.2747361499638783,0.9913690476190476,0.712202380952381,0.9913661672725356,0.7098303854447604,9.140576474687264e-05,0
15,0.3873099838835852,1.2905196123179936,0.9924404761904762,0.7047619047619048,0.992437919024773,0.7017337721390388,8.681980515339464e-05,0
16,0.3698974819694247,1.2773404254799798,0.9924404761904762,0.7086309523809524,0.9924399649553198,0.7064556766547262,8.14503363531613e-05,0
17,0.356150766043436,1.2531274152653558,0.9963095238095238,0.7226190476190476,0.9963096682198028,0.7199026938411549,7.542957248827961e-05,0
18,0.3443359973884764,1.2309114226273128,0.9963095238095238,0.7273809523809524,0.9963096779386008,0.7260721090914452,6.890576474687264e-05,1
