model,seed,class_id,class_name,precision,recall,f1,support
CNN_LSTM,44,0,class_0,0.9577922077922046,0.921874999999997,0.9394904458593697,320
CNN_LSTM,44,1,class_1,0.9935897435897403,0.9687499999999969,0.9810126582273448,320
CNN_LSTM,44,2,class_2,0.865384615384613,0.9843749999999969,0.9210526315784467,320
CNN_LSTM,44,3,class_3,0.6946107784431117,0.7249999999999976,0.709480122323657,320
CNN_LSTM,44,4,class_4,0.9283489096573179,0.931249999999997,0.9297971918871725,320
CNN_LSTM,44,5,class_5,0.9667673716012055,0.9999999999999968,0.9831029185862866,320
CNN_LSTM,44,6,class_6,0.6779141104294457,0.6906249999999978,0.6842105263152873,320
CNN_LSTM,44,7,class_7,0.9233449477351884,0.8281249999999973,0.8731466227342597,320
CNN_LSTM,44,8,class_8,0.9101796407185601,0.949999999999997,0.9296636085621884,320
CNN_LSTM,44,9,class_9,0.9682539682539651,0.953124999999997,0.9606299212593394,320
CNN_LSTM,44,10,class_10,0.984126984126981,0.9687499999999969,0.9763779527554023,320
CNN_LSTM,44,11,class_11,0.918088737201362,0.8406249999999973,0.8776508972262517,320
