model,category,accuracy,macro_f1,macro_precision,macro_recall,training_seconds,inference_ms,params,params_m,best_epoch,best_val_loss,best_val_acc,best_val_f1,latency_ms_bs1,throughput_sps_bs1,latency_ms_bs32,throughput_sps_bs32
CNN_LSTM,temporal,0.8981770833333333,0.8970080741567951,0.9102214974030868,0.8981770833333305,1035.639530479908,0.562771869590506,11500492.0,11.500492,22.0,0.4259840418455063,0.9241071428571428,0.9238653753444844,2.4013899080455303,416.42550285134286,0.5627726309467107,1776.916546772671
EfficientNet_B0,cnn,0.8924479166666667,0.8889054353353852,0.9007191348600392,0.8924479166666638,4578.984399190173,0.9434956009499728,4045096.0,4.045096,29.0,0.3934384743752421,0.930952380952381,0.9308302926247384,7.708378508687019,129.72896944189262,0.2313782763667404,4321.926914240534
GRU,temporal,0.84296875,0.8421260666480129,0.8452212415152124,0.8429687499999975,317.1752455122769,0.0332758063450455,513292.0,0.513292,28.0,0.8782649940679438,0.8470238095238095,0.8467914212994313,0.4081070050597191,2450.337748683505,0.0118292449042201,84536.2496166808
LSTM,temporal,0.8596354166666667,0.858745143005434,0.8615921081929668,0.8596354166666641,336.27455249615014,0.0193013052921742,595724.0,0.595724,29.0,0.9039038327813614,0.8491071428571428,0.8487179294564515,0.6341121159493923,1577.0081896366237,0.0198532990179955,50369.46248044577
LeNet_LSTM,temporal,0.8989583333333333,0.8982716566960723,0.9077159035356472,0.8989583333333305,321.6942955646664,0.1663486429606564,331708.0,0.331708,18.0,0.4253678763906161,0.9071428571428573,0.9063231808944544,0.944279171526432,1059.0088505113324,0.1714212435763329,5833.582694520038
LeNet,cnn,0.8466145833333333,0.8438754520433109,0.8540250029207491,0.8466145833333307,377.0022465027869,0.0199334986973553,73726.0,0.073726,18.0,0.6708285158494358,0.8446428571428571,0.8452228222747932,0.4791054688394069,2087.223096038575,0.0133072677999734,75146.90581352788
MobileNet_V2,cnn,0.89296875,0.8896481495139733,0.9013971234868388,0.892968749999997,1658.242269570008,0.3677630214951932,2261420.0,2.26142,13.0,0.2828145353495886,0.9273809523809524,0.9271529226406018,4.342351872473955,230.2899510145577,0.1408664148766547,7098.924189102268
ResNet18,cnn,0.9002604166666667,0.8978534483119556,0.9081042562287543,0.9002604166666637,874.0677982196212,0.2505578973796218,11424140.0,11.42414,23.0,0.562384121975617,0.924702380952381,0.92458564125844,2.09763091057539,476.7282914064684,0.0706592877395451,14152.421174779844
TCN,temporal,0.8315104166666667,0.8315761642682457,0.8399183243696631,0.8315104166666641,716.7294916119426,0.1337983761914074,2083724.0,2.083724,23.0,1.3583889990800382,0.8514880952380952,0.8514074060699279,1.3453023508191109,743.3273266720545,0.0497767882188782,20089.68508781253
Transformer,attention,0.7252604166666666,0.7183564205879626,0.721458804301141,0.7252604166666644,760.2434923648834,0.1214054063893854,259052.0,0.259052,24.0,2.38078789712423,0.7032738095238096,0.7019784873751228,0.7985294423997402,1252.3019777389804,0.0247112632496282,40467.37675440546
