model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,status,status_reason,error,num_channels,dropout,host,gpu_local_id,cuda_visible_devices,pid
TCN,1,1,43,5e-05,64,0.005,10,10,10,0.8083562365884255,0.8083562365884255,0.8089285714285714,0.9791547092963897,0.8041585583947611,0.003355238583745762,0.8083562365884255,3553.2698499783874,7281420,,,ok,,,384,0.5,ubuntu,0,0,637069
TCN,1,2,44,0.0001,64,0.005,10,10,9,0.8368148509316872,0.8368148509316872,0.837202380952381,0.9204176047271696,0.8264573155413106,0.009779253752590254,0.8367564103214203,2592.239530738443,3936780,,,ok,,,256,0.7,ubuntu,1,1,637070
TCN,1,3,45,5e-05,16,0.001,10,10,10,0.8335471950243766,0.8335471950243766,0.8333333333333334,1.008812843411999,0.818456717240128,0.010506907755106435,0.8335471950243766,3595.6078262161463,7281420,,,ok,,,384,0.5,ubuntu,2,2,637071
TCN,1,4,46,0.0001,32,0.005,10,10,9,0.8332685126062191,0.8332685126062191,0.8330357142857143,1.0010299576027657,0.8258796185556049,0.007019347161214051,0.8329944510364705,2341.806473877281,3936780,,,ok,,,256,0.5,ubuntu,1,1,650140
TCN,1,5,47,0.0001,16,0.005,10,10,9,0.8305897946597227,0.8305897946597227,0.830952380952381,1.0812324904946486,0.8212564096013011,0.01015985100647506,0.8259901959917969,2521.5881654899567,3936780,,,ok,,,256,0.7,ubuntu,0,0,654907
TCN,1,6,48,0.0001,16,0.005,10,10,10,0.8383271606964344,0.8383271606964344,0.8380952380952381,1.1511785401689612,0.8173084342215597,0.01903699377409198,0.8383271606964344,2546.5662202555686,3936780,,,ok,,,256,0.5,ubuntu,2,2,655596
TCN,1,7,49,0.0001,16,0.001,10,10,10,0.8380654107628365,0.8380654107628365,0.8386904761904762,1.1062199499642063,0.8301478662844939,0.005314881498676407,0.8380654107628365,3548.300890767947,7281420,,,ok,,,384,0.5,ubuntu,1,1,662992
TCN,1,8,50,5e-05,16,0.005,10,10,10,0.83573867315567,0.83573867315567,0.8363095238095238,1.0681842683002816,0.8269370417002438,0.005337483372917018,0.83573867315567,3686.848470836878,7281420,,,ok,,,384,0.7,ubuntu,0,0,668680
TCN,1,9,51,5e-05,16,0.001,10,10,10,0.8341233366229498,0.8341233366229498,0.8342261904761905,0.9613692851323257,0.8174898170769802,0.00943095180683828,0.8341233366229498,2509.824847176671,3936780,,,ok,,,256,0.7,ubuntu,2,2,669104
TCN,1,10,52,5e-05,16,0.005,10,10,10,0.8257594372899271,0.8257594372899271,0.8258928571428571,1.12677393505946,0.8125305539207452,0.012614973638989405,0.8257594372899271,2475.664377283305,3936780,,,ok,,,256,0.5,ubuntu,1,1,680657
TCN,1,11,53,0.0001,64,0.005,10,10,10,0.8323000050076953,0.8323000050076953,0.8327380952380953,0.9861694946663365,0.8276053465090207,0.005570538256712086,0.8323000050076953,3554.4304515495896,7281420,,,ok,,,384,0.5,ubuntu,2,2,681505
TCN,1,12,54,5e-05,32,0.005,10,10,4,0.8117626473565575,0.8117626473565575,0.8113095238095238,0.7041197947071244,0.8056746252477419,0.003929048516159761,0.8088325713990844,2610.154752759263,3936780,,,ok,,,256,0.5,ubuntu,0,0,687125
