model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_acc,best_val_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,status,status_reason,error,lstm_hidden,host,gpu_local_id,cuda_visible_devices,pid
CNN_LSTM,1,1,43,0.0006,16,1e-05,10,10,10,0.9168916820396245,0.9175595238095238,0.30180786110015884,0.9006628828672316,0.01223220809261829,0.9168916820396245,351.13047248125076,11500492,,,ok,,,128,ubuntu,0,0,2960684
CNN_LSTM,1,2,44,0.0001,8,1e-05,10,10,8,0.9013476844576811,0.9,0.3522156667481232,0.8935963794627397,0.008075759574842134,0.8815588975811336,763.3985763397068,11714764,,,ok,,,192,ubuntu,1,1,2960685
CNN_LSTM,1,3,45,0.0003,16,1e-05,10,10,9,0.9169213877797376,0.9166666666666666,0.2802044423962278,0.9086989884279069,0.007284550888376903,0.9052855293858052,366.5374589562416,11500492,,,ok,,,128,ubuntu,2,2,2960686
CNN_LSTM,1,4,46,0.0001,16,0.0001,10,10,8,0.9180248173544762,0.9184523809523809,0.3459087252270408,0.9062365756330639,0.010724387204719977,0.9140006874028798,408.461333328858,11961804,,,ok,,,256,ubuntu,3,3,2960687
CNN_LSTM,1,5,47,0.0006,8,1e-05,10,10,9,0.9191574689664305,0.919345238095238,0.27896567505156866,0.9025587732810422,0.012179972810690417,0.9026351222117633,785.6932933386415,11961804,,,ok,,,256,ubuntu,4,4,2960688
CNN_LSTM,1,6,48,0.0003,16,0.0001,10,10,6,0.9264056289113717,0.9267857142857143,0.2396948477046819,0.9138204055040197,0.008876655835600974,0.9140825490942174,386.0143895763904,11714764,,,ok,,,192,ubuntu,5,5,2960700
CNN_LSTM,1,7,49,0.0003,8,0.0001,10,10,9,0.9281658490362097,0.9276785714285715,0.23633800282299317,0.9109991876385719,0.010767541798636968,0.9138774152974153,764.494077835232,11961804,,,ok,,,256,ubuntu,6,6,2960816
CNN_LSTM,1,8,50,0.0001,16,1e-05,10,10,7,0.9130566550977014,0.9130952380952381,0.30380886336289614,0.8950871575855768,0.009712582755004117,0.8836176119437277,408.8939598798752,11961804,,,ok,,,256,ubuntu,7,7,2960880
CNN_LSTM,1,9,51,0.0006,8,0.0001,10,10,10,0.9086743544804478,0.9086309523809524,0.3196836339898298,0.8974327836234386,0.01197676044375934,0.9086743544804478,777.1804201807827,11714764,,,ok,,,192,ubuntu,8,8,2960944
CNN_LSTM,1,10,52,0.0001,8,0.0001,10,10,10,0.9060373406235817,0.9068452380952381,0.4316931593624932,0.8893643821681676,0.020452867819130593,0.9060373406235817,798.7289171759039,11961804,,,ok,,,256,ubuntu,9,9,2960945
CNN_LSTM,1,11,53,0.0003,16,0.0001,10,10,10,0.9306181905589651,0.9306547619047619,0.30272097423190386,0.9117334144185696,0.02231252321752709,0.9306181905589651,424.5562100317329,11961804,,,ok,,,256,ubuntu,0,0,2972866
CNN_LSTM,1,12,54,0.0006,8,0.0001,10,10,10,0.9208731059463967,0.9214285714285714,0.28954541789504823,0.9082286311602887,0.011565846644657467,0.9208731059463967,737.9917129017413,11500492,,,ok,,,128,ubuntu,2,2,2973334
