model,rank,phase1_trial_id,best_epoch,best_val_f1,best_val_acc,config
Transformer,1,13,10,0.5955984575106001,0.5985119047619047,"{""lr"": 0.0002, ""batch_size"": 16, ""weight_decay"": 0.0003, ""best_val_macro_f1"": 0.5955984575106001, ""d_model"": 64, ""nhead"": 4, ""num_layers"": 2, ""dim_feedforward"": 256, ""dropout"": 0.5, ""pooling"": ""mean"", ""norm_first"": true}"
Transformer,2,9,9,0.5658620559964481,0.5767857142857142,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.0001, ""best_val_macro_f1"": 0.5658620559964481, ""d_model"": 128, ""nhead"": 4, ""num_layers"": 2, ""dim_feedforward"": 64, ""dropout"": 0.5, ""pooling"": ""mean"", ""norm_first"": true}"
Transformer,3,11,10,0.5450718076845282,0.5610119047619048,"{""lr"": 0.0001, ""batch_size"": 32, ""weight_decay"": 0.001, ""best_val_macro_f1"": 0.5450718076845282, ""d_model"": 128, ""nhead"": 2, ""num_layers"": 2, ""dim_feedforward"": 64, ""dropout"": 0.5, ""pooling"": ""mean"", ""norm_first"": true}"
