epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_f1,val_macro_f1,lr,epoch_time_s,cum_time_s,is_best
1.0,0.8151343210254397,0.9304761904761905,0.9300939742297877,0.7128471201374418,0.8595238095238096,0.8604672562839552,0.8604672562839552,0.0007,54.55182202346623,54.55182202346623,1.0
2.0,0.52903707078525,0.9533928571428572,0.9526733535411954,0.6096239091384978,0.8836309523809524,0.8831785952120549,0.8831785952120549,0.0007,32.141587503254414,86.69340952672064,1.0
3.0,0.46312813489210036,0.9719642857142857,0.9718480965514762,0.566788781114987,0.9032738095238095,0.9034141878505783,0.9034141878505783,0.0007,33.57847875542939,120.27188828215003,1.0
4.0,0.42582267326968054,0.9711309523809524,0.9709422748685607,0.6144645168667748,0.8898809523809523,0.8850746358470087,0.8850746358470087,0.0007,32.26190749928355,152.53379578143358,0.0
5.0,0.4041165476185935,0.9732738095238095,0.97319436408737,0.5806828354086194,0.9011904761904762,0.9013723561094652,0.9013723561094652,0.0007,35.24971584044397,187.78351162187755,0.0
6.0,0.3831305612836565,0.9861309523809524,0.9861250054667776,0.6088310631967726,0.8994047619047619,0.8985577976633622,0.8985577976633622,0.00035,34.24086099304259,222.02437261492014,0.0
7.0,0.33538290233839124,0.9958333333333333,0.9958360789605168,0.5315018770240602,0.919345238095238,0.9195438130465211,0.9195438130465211,0.00035,32.46848187409341,254.49285448901355,1.0
8.0,0.3242761067833219,0.996547619047619,0.9965460330150564,0.5339123513017382,0.93125,0.9312049263134133,0.9312049263134133,0.00035,33.10729135945439,287.60014584846795,1.0
9.0,0.3226525819585437,0.9941071428571429,0.994103642596424,0.5706201767637616,0.9110119047619047,0.910726205762665,0.910726205762665,0.00035,33.43471300601959,321.03485885448754,0.0
10.0,0.3210404452539626,0.9920833333333333,0.9920825793474438,0.5756267631337756,0.9086309523809524,0.9081789848708408,0.9081789848708408,0.000175,36.17062182724476,357.2054806817323,0.0
