model,category,accuracy,macro_f1,macro_precision,macro_recall,training_seconds,inference_ms,params,params_m,best_epoch,best_val_loss,best_val_acc,best_val_f1,latency_ms_bs1,throughput_sps_bs1,latency_ms_bs32,throughput_sps_bs32
CNN_LSTM,temporal,0.9328125,0.9323599167577185,0.9345594235352236,0.9328124999999968,2957.123357452452,0.668874685652554,11961804.0,11.961804,23.0,0.4188129614732215,0.9351190476190476,0.9355248730141706,2.4051465652883053,415.77507767395866,0.5790538026485592,1726.955242200391
EfficientNet_B0,cnn,0.90703125,0.9060502301671056,0.9106195550382482,0.9070312499999972,2654.310290094465,0.4432728281244635,4045096.0,4.045096,13.0,0.1822113773524923,0.944345238095238,0.9448058062387878,5.199403073638678,192.32977052117135,0.1790774893015623,5584.174783219254
GRU,temporal,0.8651041666666667,0.8643715449814975,0.8673745569163809,0.8651041666666637,1848.673902977258,0.1967397052794695,1057036.0,1.057036,16.0,0.7866787351990623,0.8928571428571429,0.8932357530987929,1.4775138348340988,676.8126134753142,0.0500201113754883,19991.95868424308
LSTM,temporal,0.8565104166666667,0.8562468127783949,0.858734531156299,0.856510416666664,1917.929982451722,0.4257998429238796,1320204.0,1.320204,23.0,0.9814862488047064,0.8755952380952381,0.8762103679053959,1.474558636546135,678.1690298476732,0.0499204848892986,20031.856706070725
LeNet_LSTM,temporal,0.9182291666666668,0.918365439263423,0.9194354085224434,0.9182291666666637,1920.8995310608295,0.4176887683570385,803548.0,0.803548,19.0,0.4546849240439358,0.9223214285714286,0.9227681089583802,2.01979523524642,495.0996925576951,0.3066132438834756,3261.437723088168
LeNet,cnn,0.8723958333333334,0.8713907206507137,0.8752437757050201,0.8723958333333305,980.8964006621392,0.0668177148327231,73726.0,0.073726,26.0,0.4911249863165245,0.8883928571428571,0.8889785712680345,0.547961201518774,1824.946724746785,0.0112765427911654,88679.66171187222
MobileNet_V2,cnn,0.928125,0.9276568770292212,0.9279132028529978,0.9281249999999972,2092.340772172436,0.3592587192542851,2261420.0,2.26142,28.0,0.3652680461533358,0.9348214285714286,0.9346639153982726,3.8774702325463295,257.9001101301302,0.1303355552954599,7672.503467937683
ResNet18,cnn,0.896875,0.8960319534231341,0.9033110919751864,0.8968749999999971,2361.7865196932107,0.4487808677367866,11424140.0,11.42414,7.0,0.2295832190740774,0.9354166666666668,0.9353229885644232,1.9723135232925413,507.0187818469244,0.068070872221142,14690.571273294352
TCN,temporal,0.8544270833333333,0.8551997365380349,0.8600740016334804,0.8544270833333304,2242.630085125565,0.2726790960878134,7281420.0,7.28142,17.0,3.276939181561053,0.8672619047619048,0.8684837348893516,0.7444681227207184,1343.2408581114526,0.0470086891436949,21272.662952655966
Transformer,attention,0.7846354166666667,0.7834357416921541,0.7867240222465544,0.7846354166666641,1973.9338664226236,0.2738812123425305,1080076.0,1.080076,8.0,1.7706854679894204,0.8244047619047619,0.8264031764027931,0.7725919410586357,1294.344332183637,0.0281045399606227,35581.43991686389
