model,seed,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,test_loss,test_acc,test_f1,lr,epoch_time_sec
CNN_LSTM,43,1,0.98909345581418,0.6689285714285714,0.8282697633249979,0.5299482591805004,0.7988095238095239,0.7948418170428863,0.5689422735168288,0.78671875,0.7661859725432789,0.0003,34.741210801526904
CNN_LSTM,43,2,0.4582565267313094,0.8447619047619047,0.8997690731208839,0.4301863297953137,0.8321428571428572,0.8316993596704466,0.4774188049797279,0.8427083333333333,0.8375788208384364,0.0003,35.18987684324384
CNN_LSTM,43,3,0.3306042147534234,0.8929166666666667,0.9262838988400378,0.407265006480295,0.8592261904761904,0.8586404191778779,0.4809211121270588,0.8611979166666667,0.8584196508749754,0.0003,34.55661713331938
CNN_LSTM,43,4,0.2591177364190419,0.9167857142857144,0.9415479240539264,0.3470641871115991,0.8761904761904762,0.8764946990698999,0.4757449403346981,0.85546875,0.8496190346671236,0.0003,35.41576442308724
CNN_LSTM,43,5,0.1952119697204657,0.9383928571428573,0.9430861845498808,0.4493617795285813,0.8508928571428571,0.8483520193213527,0.4392076998803532,0.875,0.8726972432246618,0.0003,35.088495779782534
CNN_LSTM,43,6,0.1512187309776033,0.9560714285714286,0.9546320115500888,0.4111504870289493,0.8669642857142857,0.8660599823562158,0.4795496178490187,0.87890625,0.8763371468011703,0.0003,33.94969268515706
CNN_LSTM,43,7,0.1345851445410932,0.96125,0.9781738137428064,0.3016117140417919,0.9089285714285714,0.9081585248867464,0.4428607983728094,0.8981770833333333,0.8972940779212988,0.0003,34.54080478474498
CNN_LSTM,43,8,0.1218824582582428,0.9642261904761904,0.9778320942953882,0.3126546377327204,0.9014880952380953,0.9020647577132024,0.4354856370012082,0.8893229166666666,0.8879441338656803,0.0003,34.6190679743886
CNN_LSTM,43,9,0.0958199163490817,0.9713095238095238,0.9904114476192176,0.3121850283478298,0.9083333333333332,0.9078486157774568,0.42961462301076,0.9013020833333332,0.9010045299858356,0.0003,34.873898677527905
CNN_LSTM,43,10,0.0772841225138732,0.9799404761904762,0.9856133239060294,0.3889531116774638,0.8916666666666667,0.8906704463236825,0.4958698690927122,0.896875,0.8950212611464927,0.00015,35.45734764076769
CNN_LSTM,43,11,0.0379692037190709,0.9911309523809524,0.996786140339489,0.3275301235880414,0.9160714285714284,0.916499495364286,0.4462097919863784,0.91171875,0.9110196187345108,0.00015,33.58773550577462
CNN_LSTM,43,12,0.0328959528888974,0.991904761904762,0.9958927380795216,0.4086281370289812,0.9080357142857144,0.9075201035673468,0.4732791104900873,0.9080729166666668,0.90749245892137,0.00015,34.72568179294467
CNN_LSTM,43,13,0.0267329971634206,0.9939285714285714,0.9918845231199652,0.3923543318074995,0.9139880952380952,0.9144887645779292,0.5239868084013021,0.8994791666666667,0.8968022018926388,7.5e-05,35.283248361200094
CNN_LSTM,43,14,0.0183366448183854,0.9964880952380952,0.998928570699158,0.4025750386354048,0.9178571428571428,0.9174392790310316,0.5089365061151209,0.9106770833333332,0.9099225880405416,7.5e-05,34.09156594797969
CNN_LSTM,43,15,0.0132754368867192,0.9978571428571428,0.9983331440881424,0.3891408825337532,0.9157738095238096,0.9156375487634856,0.4835385881484398,0.9098958333333332,0.9093054795999124,7.5e-05,34.80270138569176
CNN_LSTM,43,16,0.0106330437887282,0.9982738095238096,0.9993452803080728,0.3982288312198112,0.918154761904762,0.918335706160565,0.5056942353288226,0.9130208333333332,0.9130543698962876,3.75e-05,36.28410117700696
CNN_LSTM,43,17,0.0072123548033691,0.9991071428571427,0.9997023808835492,0.4057420163840842,0.919047619047619,0.9190935748897712,0.5005980576002912,0.9190104166666668,0.9191475934976556,3.75e-05,36.07000785693526
CNN_LSTM,43,18,0.0069287042319774,0.9990476190476192,0.9997023808911416,0.4181317026943794,0.9211309523809524,0.9211615337736088,0.5046282238170534,0.91640625,0.9160903297638864,3.75e-05,36.01569235697389
CNN_LSTM,43,19,0.0061646437219211,0.9992857142857144,0.9998214285633354,0.435457520791256,0.919940476190476,0.9195185045400456,0.5281111896615281,0.9111979166666668,0.9105601588117862,1.875e-05,34.90152042359114
CNN_LSTM,43,20,0.0043451566142695,0.999702380952381,0.9998214285633354,0.4205307201983357,0.918154761904762,0.9178006466489216,0.5272373593509353,0.9153645833333334,0.9145160694205516,1.875e-05,36.693398743867874
CNN_LSTM,43,21,0.0046416371493112,0.9996428571428572,0.9998214285633354,0.4216220692729014,0.919345238095238,0.9193015449656587,0.52660934257392,0.9151041666666668,0.9145921366275584,1.875e-05,36.48915083706379
CNN_LSTM,43,22,0.0045441161450885,0.9995238095238096,0.9998214285633354,0.4512151110807497,0.9175595238095238,0.9173257126403024,0.5455667937137453,0.9127604166666666,0.9125499226598334,9.375e-06,36.33873178996146
CNN_LSTM,43,23,0.0041925125462668,0.9995238095238096,0.9998214285633354,0.4314866627597006,0.9196428571428572,0.9197835580140908,0.5382988087065618,0.9184895833333332,0.9183969260760624,9.375e-06,35.771883154287934
CNN_LSTM,43,24,0.0033367531001567,0.9997619047619049,0.9998214285633354,0.4294364719108714,0.9205357142857142,0.9204505513132558,0.539523531065394,0.9174479166666668,0.9171208749059062,9.375e-06,35.68749835155904
CNN_LSTM,43,25,0.0031287705685411,0.9998214285714284,0.9998214285633354,0.4443357124728901,0.918154761904762,0.9182674607119572,0.5487792700721912,0.9166666666666666,0.9164201548735802,4.6875e-06,36.49714780412614
CNN_LSTM,43,26,0.0031434101079191,0.9998809523809524,0.9998214285633354,0.4483818680341799,0.9175595238095238,0.9173571876615156,0.5452379405672825,0.9166666666666666,0.9161988228601164,4.6875e-06,34.83624274469912
CNN_LSTM,43,27,0.0030430093336673,0.9997619047619049,0.9998809523728592,0.4460548850912129,0.918154761904762,0.9182355868806314,0.5422159513545315,0.91875,0.9184696988297344,4.6875e-06,36.825355341658
CNN_LSTM,43,28,0.0028942834124678,0.9998809523809524,0.9998214285633354,0.4440928438483665,0.91875,0.918809718144905,0.5480206225861669,0.91953125,0.9191849068304172,2.34375e-06,33.80648483708501
CNN_LSTM,43,29,0.0030716277233191,0.9998214285714284,0.9998809523728592,0.4460062657034931,0.91875,0.9185454855731744,0.5521678909297104,0.91796875,0.91744644980824,2.34375e-06,36.02708297595382
CNN_LSTM,43,30,0.0027822673746517,0.9998809523809524,0.999940476182383,0.4488811556544706,0.919345238095238,0.9192149358843056,0.5536317217918926,0.91640625,0.91587849072269,2.34375e-06,36.00690397061408
EfficientNet_B0,43,1,1.1920131286269142,0.5620238095238095,0.8108943235856425,0.6053965342497187,0.78125,0.7835968433112055,0.712893930216281,0.7481770833333333,0.7505466105480058,0.0003,156.7748738285154
EfficientNet_B0,43,2,0.5766113521513485,0.7879166666666667,0.9075160955576274,0.3475426294041729,0.8720238095238095,0.8721110894503977,0.4110411942660448,0.834375,0.8367280313928248,0.0003,165.17101503908634
EfficientNet_B0,43,3,0.3962593722627276,0.8609523809523809,0.9305067992084526,0.3261901157365563,0.8869047619047619,0.8871417878809429,0.3587378130427472,0.86484375,0.8659894168505223,0.0003,150.6108092367649
EfficientNet_B0,43,4,0.3016363968167986,0.8997619047619048,0.9503648455748808,0.2781437096252505,0.9050595238095238,0.9034529768276052,0.4043071982620556,0.86953125,0.8669475650122861,0.0003,143.00894840061665
EfficientNet_B0,43,5,0.2501673725673131,0.918809523809524,0.9701982121153108,0.2572064956813457,0.9151785714285714,0.9144645488926,0.2969713446510506,0.9041666666666668,0.9043024880500764,0.0003,144.69201809167862
EfficientNet_B0,43,6,0.2018085045757748,0.9341666666666668,0.9733333446605608,0.3257642510400771,0.8943452380952381,0.8931249441708551,0.3844582280988864,0.88359375,0.8840876124541016,0.0003,152.21699491888285
EfficientNet_B0,43,7,0.1708749088148276,0.946845238095238,0.971283072100452,0.2439228607397776,0.9116071428571428,0.9126277858722373,0.3618070656930285,0.8919270833333334,0.8924990536854044,0.0003,160.45989625155926
EfficientNet_B0,43,8,0.1575213564506599,0.9498214285714286,0.9682637735372476,0.259470504589362,0.9083333333333332,0.907304507180744,0.3730020805556933,0.8786458333333333,0.8783944522449701,0.0003,166.0281923674047
EfficientNet_B0,43,9,0.1310607468443257,0.9575595238095238,0.986890203677436,0.2112341001440134,0.9300595238095238,0.9295272905508648,0.3630905338199265,0.9041666666666668,0.902293425556801,0.0003,162.7577929776162
EfficientNet_B0,43,10,0.1100288302699724,0.9650595238095238,0.9866397052030844,0.3563939891500468,0.8988095238095238,0.8985502198405676,0.3413823511884838,0.8989583333333333,0.898006797757012,0.0003,157.68919263780117
EfficientNet_B0,43,11,0.1082979554150785,0.967202380952381,0.989341395741568,0.2442678699077294,0.924702380952381,0.9240743863677854,0.3805088247782578,0.89453125,0.8926803441748957,0.0003,145.1698982808739
EfficientNet_B0,43,12,0.0929342111448447,0.9705357142857144,0.9868490903658832,0.2607973901630993,0.9252976190476192,0.9252677073127326,0.4310085666798462,0.89140625,0.8904201355995033,0.00015,146.22911594435573
