model,category,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,training_seconds_mean,training_seconds_std,inference_ms_mean,inference_ms_std,params_m
CNN_LSTM,temporal,0.91640625,0.0,0.9160903297638864,0.0,0.9173285387114564,0.0,0.9164062499999972,0.0,1059.1749121025205,0.0,0.5620921147055924,0.0,11.500492
EfficientNet_B0,cnn,0.9013020833333332,0.0,0.9003445855561446,0.0,0.9022252107609606,0.0,0.9013020833333306,0.0,4813.92263546586,0.0,0.932323606684804,0.0,4.045096
GRU,temporal,0.8419270833333333,0.0,0.841815673986329,0.0,0.8453223570323227,0.0,0.8419270833333307,0.0,334.00818209163845,0.0,0.0130537635413929,0.0,0.513292
LSTM,temporal,0.8458333333333333,0.0,0.8462681420682486,0.0,0.8510128751096393,0.0,0.8458333333333306,0.0,358.366226920858,0.0,0.0271895027253776,0.0,0.595724
LeNet_LSTM,temporal,0.9096354166666668,0.0,0.9093569887720326,0.0,0.9140400075752612,0.0,0.909635416666664,0.0,325.0195443648845,0.0,0.1665133371716365,0.0,0.331708
LeNet,cnn,0.8723958333333334,0.0,0.8713907206507137,0.0,0.8752437757050201,0.0,0.8723958333333305,0.0,446.4805784728378,0.0,0.1124095113482326,0.0,0.073726
MobileNet_V2,cnn,0.91640625,0.0,0.9165119600971794,0.0,0.9185358482518188,0.0,0.916406249999997,0.0,1774.6409260574728,0.0,0.2322547836229205,0.0,2.26142
ResNet18,cnn,0.9028645833333332,0.0,0.9021678386815192,0.0,0.904385642852393,0.0,0.9028645833333304,0.0,951.595789739862,0.0,0.2954098454210907,0.0,11.42414
TCN,temporal,0.8526041666666667,0.0,0.8516048316391572,0.0,0.854168553421863,0.0,0.8526041666666639,0.0,871.4381582774222,0.0,0.2471734362188726,0.0,2.083724
Transformer,attention,0.7229166666666667,0.0,0.7203508830025691,0.0,0.7205606842835534,0.0,0.7229166666666643,0.0,848.2690098546445,0.0,0.1689049415290355,0.0,0.259052
