model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,input_proj_dim,hidden_size,num_layers,dropout,use_last_only,host,gpu_local_id,cuda_visible_devices,pid
GRU,1,1,43,0.0006,16,0.0003,10,10,10,0.841649045397778,0.841649045397778,0.8413690476190476,0.798001461937314,0.798001461937314,0.3453735223838261,0.798001461937314,0.0,0.8357696508201287,0.005854597163546899,0.841649045397778,168.12507432885468,525964,,,0.05,ok,,,256,192,1,0.3,False,ubuntu,4,4,2330
GRU,1,2,44,0.0006,32,0.001,10,10,10,0.7874943358177666,0.7874943358177666,0.7889880952380952,1.0128428575538453,1.0128428575538453,0.4195567609014965,1.0128428575538453,0.0,0.7827860766654454,0.003967272442649904,0.7874943358177666,93.46312604099512,143692,,,0.05,ok,,,64,128,1,0.5,False,ubuntu,4,4,13272
GRU,1,3,45,0.0003,64,0.0001,10,10,10,0.7133814176946771,0.7133814176946771,0.7145833333333333,1.1397339962777637,1.1397339962777637,0.4589036312166729,1.1397339962777637,0.0,0.7077138303955406,0.006303321823003193,0.7133814176946771,81.22947970218956,196236,,,0.05,ok,,,128,64,2,0.3,False,ubuntu,4,4,21595
GRU,1,5,47,0.0006,32,0.0003,10,10,10,0.8469997394189633,0.8469997394189633,0.8476190476190476,0.820705124877748,0.820705124877748,0.32369620050702774,0.820705124877748,0.0,0.8331972705224301,0.013113579990737173,0.8469997394189633,109.43269865587354,513292,,,0.05,ok,,,256,128,2,0.3,False,ubuntu,1,1,38587
GRU,1,6,48,0.0001,32,0.0001,10,10,10,0.6183724092788218,0.6183724092788218,0.6348214285714285,1.2453851427350726,1.2453851427350726,0.8929240907941546,1.2453851427350726,0.0,0.5824952461295119,0.026474380281640356,0.6183724092788218,107.0750682707876,196236,,,0.05,ok,,,128,64,2,0.6,False,ubuntu,1,1,48274
GRU,1,7,49,0.0006,64,0.0001,10,10,9,0.7466569788720343,0.7466569788720343,0.7473214285714286,1.184530398391542,1.3975303269567945,0.4388643125844092,1.184530398391542,0.2129999285652524,0.7184264934210584,0.023402169300832453,0.6807041505446839,96.93432731926441,440908,,,0.05,ok,,,64,192,2,0.6,False,ubuntu,0,0,56748
GRU,1,8,50,0.0001,16,0.001,10,10,8,0.6815919397432987,0.6815919397432987,0.6818452380952381,1.179913879150436,1.229837683836619,0.5441646669592176,1.179913879150436,0.04992380468618296,0.6748356409680115,0.0037205059871389177,0.6726485303253985,154.9311120864004,327052,,,0.05,ok,,,256,64,1,0.3,False,ubuntu,5,5,63306
GRU,1,9,51,0.0006,64,0.0001,10,10,9,0.765232871776452,0.765232871776452,0.762797619047619,1.1424903869628906,1.1460454787526813,0.4101224222110705,1.1424903869628906,0.003555091789790632,0.7455154806293073,0.02831281195800694,0.7619924484838791,77.90294268354774,332940,,,0.05,ok,,,128,128,2,0.6,False,ubuntu,0,0,71655
GRU,1,12,54,0.0001,64,0.001,10,10,10,0.6828905618729277,0.6828905618729277,0.6830357142857143,1.1965736945470173,1.1965736945470173,0.5766327747147346,1.1965736945470173,0.0,0.6568989513543873,0.019108273343416044,0.6828905618729277,79.34760498255491,352012,,,0.05,ok,,,256,64,2,0.3,False,ubuntu,5,5,95311
GRU,1,13,55,0.0001,64,0.0001,10,10,10,0.5987203771571679,0.5987203771571679,0.6017857142857143,1.3276497267541432,1.3276497267541432,0.9468580511586294,1.3276497267541432,0.0,0.5689705086644729,0.0252448505848514,0.5987203771571679,81.65389433316886,218572,,,0.05,ok,,,64,192,1,0.5,False,ubuntu,0,0,103715
GRU,1,14,56,0.0003,64,0.0003,10,10,10,0.7389102604655297,0.7389102604655297,0.7383928571428572,1.11724743218649,1.11724743218649,0.4939763888206772,1.11724743218649,0.0,0.7091217437960821,0.017713055232821597,0.7389102604655297,82.90406694822013,321036,,,0.05,ok,,,128,192,1,0.6,False,ubuntu,3,3,112182
GRU,1,15,57,0.0001,64,0.0003,10,10,10,0.6286469977372183,0.6286469977372183,0.6363095238095238,1.3124421460287912,1.3124421460287912,0.7208610265427216,1.3124421460287912,0.0,0.6022463514904584,0.019608899719059266,0.6286469977372183,72.04488220438361,414220,,,0.05,ok,,,256,128,1,0.6,False,ubuntu,0,0,118546
