variant_name,seed,label_smoothing,weight_decay_override,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,class_3_f1,class_6_f1,class_3_to_6_errors,class_6_to_3_errors,subject_26_accuracy,subject_26_macro_f1,inference_ms,params_m,training_seconds,best_epoch,best_val_loss,best_val_f1,run_dir
baseline,43,0.0,,0.9182291666666668,0.918365439263423,0.9194354085224434,0.9182291666666637,0.7283950617278928,0.7049689440988767,72,89,0.7875,0.758955259723512,0.4197465954348445,0.803548,1889.658508639783,19.0,0.4546849240439358,0.9227681089583802,/home/yaxin/tacact/outputs/targeted_lenet_lstm_regularization_quick/runs/baseline/subject_seed43
ls005,43,0.05,,0.9166666666666666,0.9166364722855418,0.9175352980990944,0.916666666666664,0.7114503816788872,0.6846275752768354,80,100,0.8,0.7795456898222947,0.4202909884043038,0.803548,1263.225810918957,25.0,0.601886778715111,0.9269981559025706,/home/yaxin/tacact/outputs/targeted_lenet_lstm_regularization_quick/runs/ls005/subject_seed43
ls005_wd1e3,43,0.05,0.001,0.91640625,0.9164754243695228,0.9178219769105822,0.9164062499999972,0.7158218125955039,0.6979655712045055,76,91,0.7791666666666667,0.7533227069006774,0.4623176413588226,0.803548,1272.7709199115634,17.0,0.5964073059814317,0.9221662353162255,/home/yaxin/tacact/outputs/targeted_lenet_lstm_regularization_quick/runs/ls005_wd1e3/subject_seed43
ls005_wd3e4,43,0.05,0.0003,0.9213541666666668,0.9214683945600012,0.9226300648066648,0.921354166666664,0.7266982622427837,0.7195121951214493,76,82,0.78125,0.7537130498926178,0.4188858205452561,0.803548,1263.831018904224,25.0,0.5582286904255549,0.9344044585960632,/home/yaxin/tacact/outputs/targeted_lenet_lstm_regularization_quick/runs/ls005_wd3e4/subject_seed43
ls01,43,0.1,,0.9106770833333332,0.9094654804986936,0.9121521969044516,0.9106770833333302,0.7060518731983482,0.6549912434320794,55,125,0.7958333333333333,0.7610049605077011,0.419788621366024,0.803548,1264.1374637726694,11.0,0.7454379726023901,0.9291530492273168,/home/yaxin/tacact/outputs/targeted_lenet_lstm_regularization_quick/runs/ls01/subject_seed43
