variant_name,seed,class_3_f1,class_6_f1,test_macro_f1
baseline,43,0.7283950617278928,0.7049689440988767,0.918365439263423
ls005,43,0.7114503816788872,0.6846275752768354,0.9166364722855418
ls005_wd1e3,43,0.7158218125955039,0.6979655712045055,0.9164754243695228
ls005_wd3e4,43,0.7266982622427837,0.7195121951214493,0.9214683945600012
ls01,43,0.7060518731983482,0.6549912434320794,0.9094654804986936
