variant_name,seed,class_3_to_6_errors,class_6_to_3_errors,best_val_f1,test_macro_f1
baseline,43,72,89,0.9227681089583802,0.918365439263423
ls005,43,80,100,0.9269981559025706,0.9166364722855418
ls005_wd1e3,43,76,91,0.9221662353162255,0.9164754243695228
ls005_wd3e4,43,76,82,0.9344044585960632,0.9214683945600012
ls01,43,55,125,0.9291530492273168,0.9094654804986936
