epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_f1,val_macro_f1,lr,epoch_time_s,cum_time_s,is_best
1.0,1.2287307262420655,0.8654761904761905,0.8654129822693276,0.8349556539739881,0.7845238095238095,0.7865506994796783,0.7865506994796783,0.0001,44.380164785310626,44.380164785310626,1.0
2.0,0.6701219849927085,0.8723214285714286,0.8698537827354541,0.822533202738989,0.7919642857142857,0.7876294792223005,0.7876294792223005,0.0001,29.6135037522763,73.99366853758693,1.0
3.0,0.5483276345616295,0.9503571428571429,0.9502785167578401,0.7015985769884927,0.8416666666666667,0.8398122974723452,0.8398122974723452,0.0001,29.29022022522986,103.28388876281679,1.0
4.0,0.4830324866090502,0.9469642857142857,0.9465406198805719,0.7455967843532563,0.8238095238095238,0.8221177580189142,0.8221177580189142,0.0001,29.868586491793394,133.15247525461018,0.0
5.0,0.44070442926316034,0.9697619047619047,0.9695376515050813,0.7119802710555848,0.850297619047619,0.8473131634561142,0.8473131634561142,0.0001,29.14610188640654,162.29857714101672,1.0
6.0,0.4083247888088226,0.9827976190476191,0.9827754141604211,0.7484953701496124,0.8416666666666667,0.8393865912084073,0.8393865912084073,5e-05,27.719330832362175,190.0179079733789,0.0
7.0,0.35830758026668,0.9942261904761904,0.9942258157977569,0.7159712612628937,0.8494047619047619,0.8489403458832848,0.8489403458832848,5e-05,28.87159532122314,218.88950329460204,1.0
8.0,0.34502849964868454,0.9964880952380952,0.9964879603362596,0.7394875969205584,0.8648809523809524,0.8635929814534085,0.8635929814534085,5e-05,28.700282353907824,247.58978564850986,1.0
9.0,0.3393612373442877,0.9963690476190477,0.9963689399088054,0.733382903394245,0.8592261904761904,0.8582992593891589,0.8582992593891589,2.5e-05,29.458925208076835,277.0487108565867,0.0
10.0,0.323652347723643,0.9992857142857143,0.9992857774308609,0.7365444617612021,0.8607142857142858,0.8605150510894523,0.8605150510894523,2.5e-05,29.46740487590432,306.516115732491,0.0
