model,seed,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,test_loss,test_acc,test_f1,lr,epoch_time_sec
Transformer,50,1,2.0069649982452393,0.3344047619047619,0.5524507024060699,1.6400411636346863,0.42916666666666664,0.41505329659401274,1.7696025449316948,0.3924479166666667,0.3819291581089743,9.779754323328192e-05,37.851447872817516
Transformer,50,2,1.1991540982609703,0.5825,0.7267994867859535,1.2606254659548757,0.5708333333333333,0.5597602546290431,1.3666955076313267,0.5359375,0.527173677520124,9.140576474687264e-05,36.40571170300245
Transformer,50,3,0.7724204173542204,0.7271428571428571,0.826060061991126,1.1088594024291352,0.6330357142857143,0.6238501767864728,1.1947547944107404,0.5911458333333334,0.586442286939924,8.14503363531613e-05,36.83522794395685
Transformer,50,4,0.5375020355553854,0.8121428571428572,0.887636686488766,1.016814878639499,0.6684523809523809,0.6637311404093227,1.0798902872542384,0.64921875,0.644886529378993,6.890576474687264e-05,34.5070785433054
Transformer,50,5,0.40389753229561304,0.8591666666666666,0.9180942068137362,1.0089116691511923,0.6741071428571429,0.6713265233957086,1.0671895113967669,0.6609375,0.6598402503686386,5.5e-05,31.235159484669566
Transformer,50,6,0.3135950271004722,0.8947619047619048,0.9284847081078059,1.0350071733285273,0.6913690476190476,0.6870112398634886,1.1094485507531013,0.6783854166666666,0.6750271998851693,4.109423525312737e-05,34.3428866174072
Transformer,50,7,0.25000321747291654,0.9167261904761905,0.9516827322374201,1.0383185747024115,0.6994047619047619,0.6966951148393604,1.138016263358198,0.68125,0.678370101148377,2.8549663646838717e-05,33.517290852963924
Transformer,50,8,0.20858744042969884,0.9339880952380952,0.9630587975091998,1.0621776979469273,0.7017857142857142,0.6988001084158298,1.170749025446518,0.68203125,0.6803969000086024,1.859423525312737e-05,34.01364772580564
Transformer,50,9,0.1811851780968053,0.945952380952381,0.9679145418903755,1.0684267276388018,0.7101190476190476,0.7065898715491552,1.1851998220440387,0.6817708333333333,0.6792467825982497,1.2202456766718093e-05,34.60801636427641
Transformer,50,10,0.1609956942498684,0.9527976190476191,0.9676312146882579,1.116261079282655,0.7038690476190477,0.7005740462318113,1.2180349127035395,0.6765625,0.674259360351254,0.0001,37.93209143728018
Transformer,50,11,0.18938027894213086,0.9389285714285714,0.968823599101729,1.1766791493968671,0.7077380952380953,0.7043550793062251,1.2931082110699208,0.68203125,0.6826981053192488,9.94459753267812e-05,35.74489429779351
Transformer,50,12,0.1431773728841827,0.9542857142857143,0.9803500018529854,1.2539076072882467,0.7145833333333333,0.7103597676321377,1.3692691552806537,0.6854166666666667,0.6825744694668187,9.779754323328192e-05,34.691935550421476
Transformer,50,13,0.10292612675400008,0.9681547619047619,0.9858979772519726,1.353862527946954,0.7175595238095238,0.7149760035455386,1.5391852781594935,0.6854166666666667,0.6840784849047026,9.509529358847655e-05,36.09296163916588
Transformer,50,14,0.07605554919867288,0.9764285714285714,0.9905370814876734,1.5812822183176694,0.7077380952380953,0.704695222971243,1.6820017062381338,0.68203125,0.6795358185194145,9.140576474687264e-05,34.57956122979522
Transformer,50,15,0.053483123204537804,0.9838095238095238,0.9918842353493654,1.6134343263455646,0.7241071428571428,0.7204710591923288,1.7440522386693373,0.69375,0.6909295555314724,8.681980515339464e-05,35.33129597641528
Transformer,50,16,0.04362432069721676,0.9867261904761905,0.9961265664732516,1.710131482923472,0.7267857142857143,0.7247162840792968,1.8645295838690952,0.70234375,0.7011813093447703,8.14503363531613e-05,34.160242380574346
Transformer,50,17,0.029032099289553505,0.991904761904762,0.9961316848847995,1.7844645254771216,0.7306547619047619,0.7296004501636535,1.9463668990608198,0.7041666666666667,0.7024414465447437,7.542957248827961e-05,33.085870103910565
Transformer,50,18,0.024739936533428375,0.9927380952380952,0.9973218622985361,1.8707600921288092,0.7244047619047619,0.7238673574417164,2.035586416625775,0.7015625,0.7004207251571987,6.890576474687264e-05,34.43326072767377
Transformer,50,19,0.01682314992660568,0.9951190476190476,0.9982733856727007,1.9463456485462454,0.7333333333333333,0.7322209117823513,2.1526548334120994,0.6981770833333333,0.6973695430545485,6.20395509268104e-05,33.36918048746884
Transformer,50,20,0.011688019881645839,0.9967857142857143,0.9977963543877005,1.9353859404069007,0.7440476190476191,0.7424602850684964,2.222701095194784,0.7049479166666667,0.7031261184243691,5.5e-05,32.73705919645727
Transformer,50,21,0.010009528277885347,0.9971428571428571,0.9995237237675236,2.0373130458383106,0.7333333333333333,0.7303366902941025,2.2260896030645485,0.70625,0.7042700956097177,4.7960449073189627e-05,35.31434253975749
Transformer,50,22,0.00824833985595476,0.9975595238095238,0.999642856299281,2.0788312750643225,0.7389880952380953,0.7360348599439442,2.2886093889921963,0.70625,0.704917993358054,4.109423525312737e-05,31.904619509354234
Transformer,50,23,0.005159784725734166,0.9986309523809523,0.9997619258757372,2.157274843693613,0.7357142857142858,0.7331437627608102,2.3289082652244817,0.7075520833333333,0.7052810136841113,3.45704275117204e-05,33.86236351169646
Transformer,50,24,0.004361753442457744,0.9985714285714286,0.9977369863609055,2.1576898853981814,0.7339285714285714,0.7323604361350334,2.3782113728359975,0.7033854166666667,0.7006344432129592,2.8549663646838717e-05,36.4824119284749
Transformer,50,25,0.003165059423162824,0.9992261904761904,0.9995236376836366,2.2144301574363956,0.7327380952380952,0.7301330175513128,2.3668349267719777,0.7130208333333333,0.7102465867470014,2.3180194846605367e-05,33.85716620832682
