model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,host,gpu_local_id,cuda_visible_devices,pid
EfficientNet_B0,1,1,43,0.0003,16,0.001,10,10,9,0.91831836496481,0.91831836496481,0.9178571428571428,0.5325648739224389,0.6095399701879138,0.3957329948175521,0.5325648739224389,0.07697509626547494,0.9004943822023396,0.011496308459991847,0.8952156257220575,756.2811140492558,4045096,,,0.05,ok,,,ubuntu,2,2,2328
EfficientNet_B0,1,2,44,0.0003,8,0.0003,10,10,9,0.9107668546077551,0.9107668546077551,0.9110119047619047,0.5247423641028859,0.6485077916156679,0.36486205830460505,0.5247423641028859,0.12376542751278197,0.8971260794227416,0.007673277528165627,0.9000885353688681,1398.9967833627015,4045096,,,0.05,ok,,,ubuntu,0,0,10483
EfficientNet_B0,1,3,45,0.0003,8,0.0001,10,10,9,0.9211867062760173,0.9211867062760173,0.9211309523809523,0.5185563288983844,0.5417135804182007,0.36849775178091865,0.5185563288983844,0.02315725151981629,0.9125380720825236,0.007673339964177338,0.9198470421160119,1404.0056821741164,4045096,,,0.05,ok,,,ubuntu,3,3,19520
EfficientNet_B0,1,4,46,0.0007,32,0.001,10,10,10,0.9241749020366151,0.9241749020366151,0.9241071428571429,0.5367385489600045,0.5367385489600045,0.3371041736148653,0.5367385489600045,0.0,0.9112348583806767,0.006666177019516986,0.9241749020366151,420.85196638293564,4045096,,,0.05,ok,,,ubuntu,4,4,28922
EfficientNet_B0,1,7,49,0.0001,32,0.0003,10,10,10,0.8857524034342368,0.8857524034342368,0.8857142857142857,0.6347870395297096,0.6347870395297096,0.41028227062452405,0.6347870395297096,0.0,0.8805407086885289,0.006281791544092011,0.8857524034342368,433.01296565681696,4045096,,,0.05,ok,,,ubuntu,1,1,54084
EfficientNet_B0,1,9,51,0.0003,8,0.001,10,10,10,0.930498151153002,0.930498151153002,0.9303571428571429,0.513012379904588,0.513012379904588,0.35268996820563364,0.513012379904588,0.0,0.9082040962288985,0.014146298191553832,0.930498151153002,1384.3133665714413,4045096,,,0.05,ok,,,ubuntu,1,1,70060
EfficientNet_B0,1,10,52,0.0007,16,0.0003,10,10,7,0.9159102238599367,0.9159102238599367,0.9166666666666666,0.5666602884020124,0.5905010769764583,0.37103939249402,0.5666602884020124,0.023840788574445826,0.9089246678650319,0.006254187460888129,0.9085463276454967,759.221895718947,4045096,,,0.05,ok,,,ubuntu,4,4,77674
EfficientNet_B0,1,12,54,0.0007,8,0.0001,10,10,9,0.9351078086614496,0.9351078086614496,0.9348214285714286,0.49063606276398614,0.4789943542508852,0.36832853049039843,0.49063606276398614,-0.011641708513100923,0.9181229507353088,0.01458567964983476,0.9343745279733255,1388.2512843422592,4045096,,,0.05,ok,,,ubuntu,4,4,93418
EfficientNet_B0,1,13,55,0.0001,16,0.0001,10,10,9,0.9020291913025297,0.9020291913025297,0.9029761904761905,0.5913320937326976,0.6610042344956171,0.4147756958859307,0.5913320937326976,0.0696721407629195,0.8865821292870824,0.011375332913192725,0.8823870116652538,760.2217870559543,4045096,,,0.05,ok,,,ubuntu,3,3,101279
EfficientNet_B0,1,14,56,0.0003,32,0.0003,10,10,10,0.9152373371775372,0.9152373371775372,0.9151785714285714,0.6063843091328939,0.6063843091328939,0.33975698391596476,0.6063843091328939,0.0,0.9040599388210742,0.009380859801452722,0.9152373371775372,416.3833808042109,4045096,,,0.05,ok,,,ubuntu,0,0,110333
EfficientNet_B0,1,15,57,0.0007,8,0.001,10,10,9,0.9294078159251146,0.9294078159251146,0.9297619047619048,0.48989098221063615,0.5350740781852177,0.3643673619486037,0.48989098221063615,0.04518309597458153,0.9140746934068451,0.012614319086083048,0.9277031697106853,1352.1304344180971,4045096,,,0.05,ok,,,ubuntu,3,3,116848
EfficientNet_B0,1,17,59,0.0001,32,0.0001,10,10,9,0.8977863558542568,0.8977863558542568,0.8982142857142857,0.5907631073679243,0.6619661484445845,0.4445556174573444,0.5907631073679243,0.0712030410766602,0.8827250244883006,0.008291080254373806,0.8795012460570627,415.32995576411486,4045096,,,0.05,ok,,,ubuntu,5,5,139840
