model,seed,class_id,class_name,precision,recall,f1,support
LeNet_LSTM,42,0,class_0,0.9210526315789446,0.9843749999999969,0.951661631419437,320
LeNet_LSTM,42,1,class_1,0.9815950920245368,0.9999999999999968,0.9907120743029024,320
LeNet_LSTM,42,2,class_2,0.9695121951219482,0.9937499999999968,0.9814814814809784,320
LeNet_LSTM,42,3,class_3,0.6097560975609743,0.8593749999999972,0.7133592736700702,320
LeNet_LSTM,42,4,class_4,0.9548192771084308,0.9906249999999969,0.9723926380363069,320
LeNet_LSTM,42,5,class_5,0.9999999999999968,0.9937499999999968,0.9968652037612522,320
LeNet_LSTM,42,6,class_6,0.7117117117117086,0.4937499999999984,0.5830258302578167,320
LeNet_LSTM,42,7,class_7,0.9442508710801361,0.8468749999999973,0.8929159802301408,320
LeNet_LSTM,42,8,class_8,0.9601328903654452,0.9031249999999971,0.9307568437998194,320
LeNet_LSTM,42,9,class_9,0.9812499999999968,0.9812499999999968,0.9812499999994968,320
LeNet_LSTM,42,10,class_10,0.9936102236421692,0.9718749999999969,0.9826224328588964,320
LeNet_LSTM,42,11,class_11,0.8766666666666637,0.8218749999999974,0.8483870967736913,320
