model,selected_trial_id,epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,epoch_time_s,cum_time_s,is_best
CNN_LSTM,3,1.0,1.1082808253736722,0.8345833333333333,0.8278735916999996,0.7879852012509392,0.7836309523809524,0.7599990222956099,0.0003,100.9429706633091,100.9429706633091,1.0
CNN_LSTM,3,2.0,0.68720208663316,0.909404761904762,0.908437025874663,0.6714623662687483,0.8613095238095239,0.8593176755954882,0.0003,88.20441191457212,189.1473825778812,1.0
CNN_LSTM,3,3.0,0.5629746488588196,0.923809523809524,0.9236687466905824,0.6267450502231008,0.8827380952380952,0.8827717876190899,0.0003,88.46088044904172,277.60826302692294,1.0
CNN_LSTM,3,4.0,0.5038791630949293,0.928154761904762,0.9279738581355454,0.6724585378453845,0.8693452380952381,0.8672121062804844,0.0003,80.53238600119948,358.1406490281224,0.0
CNN_LSTM,3,5.0,0.4741587696898551,0.9642261904761904,0.9641763158889134,0.5547014489769936,0.9083333333333332,0.9085085265417602,0.0003,70.70777717791498,428.8484262060374,1.0
CNN_LSTM,3,6.0,0.4442458517068908,0.9597023809523808,0.9600335187036556,0.6037321243257749,0.9050595238095238,0.9053211078866078,0.0003,88.70824941806495,517.5566756241024,0.0
CNN_LSTM,3,7.0,0.4236426420296941,0.975654761904762,0.9756472773232252,0.5534234275420506,0.9133928571428572,0.9138298455859868,0.0003,81.28771665506065,598.844392279163,1.0
CNN_LSTM,3,8.0,0.4055730719367663,0.9795238095238096,0.9795103372683924,0.5462877421861603,0.9214285714285714,0.9213563432496684,0.0003,88.74659852311015,687.5909908022732,1.0
CNN_LSTM,3,9.0,0.413049139039857,0.981309523809524,0.9813054961594876,0.5678336420229503,0.913095238095238,0.91357185300777,0.0003,84.57416948862374,772.1651602908969,0.0
CNN_LSTM,3,10.0,0.383617202256407,0.9891071428571429,0.989106644871012,0.5310230588629132,0.9324404761904762,0.9324342164153796,0.0003,86.5623628385365,858.7275231294334,1.0
CNN_LSTM,3,11.0,0.3723962924735887,0.9864880952380952,0.9864726134146772,0.599899656148184,0.9095238095238096,0.908783614480366,0.0003,89.22985723800957,947.957380367443,0.0
CNN_LSTM,3,12.0,0.3721045913582756,0.9920833333333332,0.9920825571670184,0.6105285528869856,0.906845238095238,0.9066462419261244,0.0003,72.62928707525134,1020.5866674426944,0.0
CNN_LSTM,3,13.0,0.3660467812418937,0.9896428571428572,0.9896369974200648,0.5840049736556553,0.9145833333333332,0.913632339570112,0.00015,89.7828326523304,1110.3695000950247,0.0
CNN_LSTM,3,14.0,0.3427016551579748,0.9958928571428572,0.9958911939106392,0.5997253481121291,0.9211309523809524,0.9211896866022627,0.00015,88.70993218198419,1199.079432277009,0.0
CNN_LSTM,3,15.0,0.3343174953687758,0.9957142857142856,0.9957125386283394,0.5765784765283267,0.9217261904761904,0.9217191304566452,0.00015,82.68659138306975,1281.7660236600786,0.0
CNN_LSTM,3,16.0,0.3342118952671686,0.9960714285714286,0.9960714781315878,0.5924717434814998,0.9205357142857142,0.9204618447709816,7.5e-05,89.66504125669599,1371.4310649167746,0.0
CNN_LSTM,3,17.0,0.3224620386106627,0.9985714285714286,0.9985715104803352,0.5775525834588777,0.9303571428571428,0.9306669052218336,7.5e-05,88.207231560722,1459.6382964774966,0.0
CNN_LSTM,3,18.0,0.3203629346830504,0.9988095238095238,0.9988094795141348,0.575531213411263,0.9291666666666668,0.9294771356939464,7.5e-05,89.37192424573004,1549.010220723227,0.0
EfficientNet_B0,2,1.0,1.331193609436353,0.8551190476190477,0.8506117055096355,0.8290222434770493,0.7880952380952381,0.7811105956175682,0.0003,158.6511714849621,158.6511714849621,1.0
EfficientNet_B0,2,2.0,0.7833736092277935,0.9116071428571428,0.911572839713671,0.6906050525250889,0.8523809523809524,0.8510149687818562,0.0003,146.30052424035966,304.95169572532177,1.0
EfficientNet_B0,2,3.0,0.6337075594209489,0.9353571428571428,0.9350647373148112,0.6239084392786026,0.8875,0.887445557815035,0.0003,148.74073268659413,453.6924284119159,1.0
EfficientNet_B0,2,4.0,0.5475800633146649,0.9521428571428572,0.9517213662710118,0.6230057062847274,0.8788690476190476,0.8789136211063934,0.0003,147.428194668144,601.1206230800599,0.0
EfficientNet_B0,2,5.0,0.5057938940610205,0.9689285714285716,0.9688795186227104,0.548035915905521,0.906547619047619,0.906970925526743,0.0003,138.2409772966057,739.3616003766656,1.0
EfficientNet_B0,2,6.0,0.465728402691228,0.9735714285714284,0.9735461554040308,0.5104589317526136,0.9208333333333332,0.9207850180684268,0.0003,131.86127384193242,871.222874218598,1.0
EfficientNet_B0,2,7.0,0.445213996995063,0.9751785714285716,0.9751632549167304,0.5260711718173254,0.9125,0.912172936546726,0.0003,133.80442746169865,1005.0273016802968,0.0
EfficientNet_B0,2,8.0,0.419141892634687,0.981547619047619,0.9815461871638194,0.5756703371802966,0.899702380952381,0.8989204775239873,0.0003,144.41295690461993,1149.4402585849166,0.0
EfficientNet_B0,2,9.0,0.4109142927612577,0.9870238095238096,0.9870281988169228,0.5921600841340564,0.8991071428571429,0.8996256106494903,0.00015,138.29936712048948,1287.739625705406,0.0
EfficientNet_B0,2,10.0,0.3519433919588725,0.991904761904762,0.9919062911083126,0.5177486412581943,0.9217261904761904,0.9207251204134432,0.00015,115.79539934173226,1403.5350250471383,0.0
EfficientNet_B0,2,11.0,0.3435179418893087,0.9933333333333332,0.9933298271927358,0.5553411156648681,0.919047619047619,0.9189834242567856,0.00015,129.98583256825805,1533.5208576153964,0.0
EfficientNet_B0,2,12.0,0.3403789383031073,0.9930357142857142,0.9930340718480734,0.53623005989052,0.9217261904761904,0.9211506725386484,7.5e-05,134.53799706324935,1668.0588546786455,1.0
EfficientNet_B0,2,13.0,0.3277025306508654,0.9985119047619048,0.998511945691814,0.5409963611335982,0.9217261904761904,0.9212735052845716,7.5e-05,143.87199238687754,1811.9308470655235,1.0
EfficientNet_B0,2,14.0,0.3206698758687292,0.9973809523809524,0.9973825464519374,0.5286157554104215,0.9252976190476192,0.9248292978108804,7.5e-05,141.28708733804524,1953.2179344035685,1.0
EfficientNet_B0,2,15.0,0.3197671285555476,0.998154761904762,0.9981550409408718,0.5437498646123069,0.9217261904761904,0.9207528109643444,3.75e-05,135.64164534397423,2088.8595797475427,0.0
EfficientNet_B0,2,16.0,0.3127185261107626,0.999345238095238,0.999345237555682,0.5379148667057355,0.9291666666666668,0.9285051563401368,3.75e-05,132.58398962393403,2221.4435693714768,1.0
EfficientNet_B0,2,17.0,0.3113342640939213,0.999404761904762,0.9994047403192686,0.5335488966533116,0.9279761904761904,0.9274042303118164,3.75e-05,141.03627054207027,2362.479839913547,0.0
EfficientNet_B0,2,18.0,0.3112099785464151,0.999404761904762,0.9994048464977024,0.5422919645195916,0.9258928571428572,0.9253363328039133,1.875e-05,142.79977186396718,2505.279611777514,0.0
GRU,1,1.0,1.3544974736940294,0.8185714285714286,0.8140832530831911,1.0788581359954108,0.6586309523809524,0.6376153261879711,0.0006,21.594348035752773,21.594348035752773,1.0
GRU,1,2.0,0.6966086139565423,0.9155357142857142,0.9147948722626584,0.8951713712442488,0.7598214285714285,0.7586526443104122,0.0006,8.994942482560873,30.589290518313646,1.0
GRU,1,3.0,0.5266084770361582,0.9563690476190476,0.9563781891047666,0.8880506313982464,0.7913690476190476,0.7936215729412686,0.0006,8.867778023704886,39.45706854201853,1.0
GRU,1,4.0,0.4522326200916653,0.9738690476190476,0.9738535297244404,0.7993051162787846,0.8235119047619047,0.824377334687212,0.0006,9.384939206764102,48.84200774878264,1.0
GRU,1,5.0,0.4012171203181857,0.9870238095238096,0.987027251733017,0.8085304879006885,0.8366071428571429,0.8374203516836872,0.0006,9.08310393244028,57.92511168122292,1.0
GRU,1,6.0,0.376898143575305,0.9885714285714284,0.9885683579645536,0.8679690934362866,0.8288690476190477,0.8280048360148263,0.0006,9.268968483433127,67.19408016465604,0.0
GRU,1,7.0,0.377048887525286,0.981845238095238,0.9818584096880836,0.8946586935293107,0.8154761904761905,0.8154811653676669,0.0003,9.075629839673638,76.26971000432968,0.0
GRU,1,8.0,0.3398016518070584,0.998452380952381,0.9984523573776772,0.7677399445147741,0.8553571428571428,0.855761171081932,0.0003,8.552798971533775,84.82250897586346,1.0
GRU,1,9.0,0.3237356238705771,0.9982142857142856,0.9982136592245048,0.7946101236911047,0.8532738095238095,0.853316248964442,0.0003,9.430268324911594,94.25277730077504,0.0
GRU,1,10.0,0.3183678250085739,0.9992261904761904,0.9992261041203048,0.7881172194367363,0.8580357142857142,0.8587034030911243,0.0003,6.996426614001393,101.24920391477644,1.0
GRU,1,11.0,0.3230844673656282,0.9986309523809525,0.9986308236292244,0.8537811387152899,0.8458333333333333,0.8454909536856375,0.00015,9.8047716319561,111.05397554673254,0.0
GRU,1,12.0,0.3195370598066421,0.999404761904762,0.9994047190606324,0.8448729463985988,0.8458333333333333,0.8462033172815105,0.00015,7.884043902158737,118.93801944889128,0.0
GRU,1,13.0,0.3149235965524401,0.999345238095238,0.9993451739319288,0.8335436173847743,0.8538690476190476,0.8535067924271956,0.00015,10.203960159793496,129.14197960868478,0.0
GRU,1,14.0,0.3134037962981633,0.9996428571428572,0.9996428570892264,0.8118468945934659,0.8571428571428571,0.8573657641586231,7.5e-05,10.243252435699103,139.38523204438388,0.0
GRU,1,15.0,0.3116054555915651,0.9998214285714284,0.9998214072668516,0.8186343272527059,0.8586309523809523,0.858649585419928,7.5e-05,10.195902036502956,149.58113408088684,0.0
