epoch,train_loss,val_loss,val_acc,val_f1,lr,epoch_time_s,cum_time_s
1.0,0.8832421806880406,0.7926261346875911,0.7223214285714286,0.7131157444357504,0.0005,35.25609753653407,35.25609753653407
2.0,0.4286359888599032,0.7263345832337759,0.7532738095238095,0.7518866096762148,0.0005,27.94350210390985,63.19959964044392
3.0,0.31231700661636536,0.6012338652962907,0.7857142857142857,0.7838981945664146,0.0005,28.38127358816564,91.58087322860956
4.0,0.24353928753307888,0.5264687925360964,0.825,0.824627944199399,0.0005,25.327891439199448,116.90876466780901
5.0,0.20070508113219623,0.563259176225845,0.8241071428571428,0.8240755113368782,0.0005,26.238433910533786,143.1471985783428
6.0,0.16468897333457355,0.5698715936043299,0.8232142857142857,0.8225067590038311,0.0005,25.84494044445455,168.99213902279735
7.0,0.14353496157697268,0.5583627430661138,0.8229166666666666,0.8233024238309468,0.00025,26.920367378741503,195.91250640153885
8.0,0.09028691569964091,0.5304118321137226,0.8413690476190476,0.8418821991210977,0.00025,26.364558670669794,222.27706507220864
9.0,0.07730227807448024,0.5640036235241929,0.8366071428571429,0.8360305535610718,0.00025,29.35929584875703,251.63636092096567
10.0,0.0680075946875981,0.551456881066302,0.8494047619047619,0.8495055858273837,0.000125,26.633180430158973,278.26954135112464
11.0,0.048309768133220216,0.5436762044639701,0.844047619047619,0.844295043319761,0.000125,28.306610142812133,306.5761514939368
12.0,0.04071246894342559,0.5905933302369141,0.837202380952381,0.8377175198618456,0.000125,26.023346131667495,332.5994976256043
13.0,0.03791268966027669,0.575136715591985,0.8443452380952381,0.8445527180145684,6.25e-05,26.143958711996675,358.74345633760095
14.0,0.029090664592527207,0.5677822321356785,0.85,0.8502365587486894,6.25e-05,26.12084080837667,384.8642971459776
15.0,0.0261849596457822,0.5868063771097306,0.8467261904761905,0.846954483602881,6.25e-05,24.686941465362906,409.5512386113405
16.0,0.024746268909601937,0.5898862546337893,0.8470238095238095,0.8472824515271014,3.125e-05,24.92343568429351,434.47467429563403
17.0,0.020762754182020823,0.5881048423213845,0.8476190476190476,0.8479066499845813,3.125e-05,25.84897249005735,460.3236467856914
18.0,0.019412612645399004,0.5796407149048936,0.8532738095238095,0.8534796496627668,3.125e-05,27.727462178096175,488.05110896378756
19.0,0.018788906314543316,0.5876516220654594,0.850297619047619,0.8505495546055003,1.5625e-05,25.00897679105401,513.0600857548416
20.0,0.016978749803134373,0.5896564529684492,0.85,0.8501863284461909,1.5625e-05,24.599209010601044,537.6592947654426
21.0,0.016447590241829554,0.5968602085003936,0.8491071428571428,0.8493786486431772,1.5625e-05,24.21829542517662,561.8775901906192
22.0,0.01603769397451764,0.5925780473408286,0.8505952380952381,0.8509529821629521,7.8125e-06,25.19816386513412,587.0757540557534
23.0,0.015205394788866951,0.5950892224774829,0.8511904761904762,0.8514683583913527,7.8125e-06,25.628189709037542,612.7039437647909
24.0,0.015001784080550784,0.595084667483267,0.8520833333333333,0.8523523128620889,7.8125e-06,25.97674903832376,638.6806928031147
25.0,0.014755405975239617,0.600413379515348,0.8491071428571428,0.8493460376443652,3.90625e-06,40.75300021842122,679.4336930215359
