subject_id,original_accuracy_mean,original_accuracy_std,improved_accuracy_mean,improved_accuracy_std,original_macro_f1_mean,original_macro_f1_std,improved_macro_f1_mean,improved_macro_f1_std
1,0.8652777777777777,0.003182344232608211,0.8604166666666666,0.013010412496663345,0.8605198973494191,0.0013054720909766936,0.8582585234301806,0.009379722727518136
2,0.8989583333333333,0.010311973892303782,0.875,0.03535533905932741,0.8965123597662288,0.0074921398101254625,0.8621602417969567,0.053655796368667893
3,0.9364583333333334,0.004419417382415906,0.940625,0.02504336516702355,0.9363145720038579,0.004782208806072731,0.9389099473091818,0.026943724982261334
4,0.9145833333333333,0.017052818274734257,0.9388888888888888,0.024146303681546848,0.9138775714269712,0.016956022898625175,0.9386295719176183,0.024571635249579726
5,0.8777777777777778,0.030924227886406,0.8916666666666666,0.013661330258962512,0.8757966136804706,0.03263938399975734,0.8899251352828307,0.014325530930671505
6,0.9291666666666667,,0.95,,0.9163746097956623,,0.9482409385378361,
7,0.9208333333333333,,0.9,,0.9170421243416215,,0.8923426227848354,
8,0.90625,0.008838834764831813,0.9229166666666667,0.0,0.9043037284736365,0.008050376103978534,0.9155169591992003,0.0014887475391982905
9,0.91875,,0.9166666666666666,,0.9139954325252253,,0.9098870507875318,
10,0.9197916666666667,0.027989643421967487,0.9208333333333334,0.020623947784607643,0.9159117543459345,0.032748198496593606,0.918066503687094,0.0239330083853279
11,0.9229166666666667,,0.9520833333333333,,0.9212602497308078,,0.9518432310799736,
12,0.9270833333333334,,0.975,,0.9159800212113648,,0.9750049283902684,
14,0.8885416666666667,0.016204530402191733,0.9020833333333333,0.005892556509887875,0.8841250597174817,0.015326483269646607,0.899198606126623,0.010278755447080587
15,0.896875,0.019150808657135674,0.8989583333333333,0.0014731391274719688,0.8948709338122429,0.02137221208841742,0.8951785578232776,0.0055106392269359435
16,0.9427083333333333,0.007365695637359844,0.9541666666666666,0.002946278254944016,0.9389765627103093,0.010698350507522087,0.9527914581926012,0.004458297739224237
17,0.9375,,0.9395833333333333,,0.9298184400798628,,0.9326938859354007,
18,0.9395833333333333,,0.9645833333333333,,0.9392691587787035,,0.9641397623419271,
20,0.9625,0.005511981898051211,0.9472222222222223,0.022080712632756433,0.9624501462083223,0.005426745436930738,0.9470395282215968,0.022082245081710694
21,0.9368055555555556,0.010276839296492146,0.9423611111111111,0.02097176232019651,0.9321273297640635,0.017283955532384085,0.937530967288224,0.0253385696132465
22,0.9510416666666667,0.007365695637359922,0.9697916666666666,0.0014731391274719688,0.95073458173457,0.007395541895734855,0.9695035763127383,0.0016340764177519532
23,0.925,0.005892556509887954,0.9395833333333333,0.005892556509887875,0.924754958744074,0.006097880568971132,0.9392696010912582,0.006699566826466006
24,0.91875,,0.925,,0.9116088869731055,,0.9210388721148511,
25,0.9395833333333333,0.0029462782549439376,0.9395833333333334,0.02357022603955158,0.9391266943160608,0.002732342116250601,0.9388081238643307,0.023888881387898856
26,0.7673611111111112,0.0012028130608117162,0.7909722222222223,0.0086736083311089,0.7433746332997524,0.00655683172119192,0.7590925716762144,0.012702682816461693
28,0.91875,0.005892556509887954,0.9208333333333334,0.02357022603955158,0.9137978434447978,0.00978316218927165,0.9171825276331218,0.02784043338197237
29,0.9854166666666666,0.023477974311634658,0.9923611111111111,0.008419691425682071,0.9849731246348158,0.024245204394812512,0.9923020605751529,0.008509276500644713
31,0.8416666666666668,0.02398096756921111,0.9020833333333333,0.02219507890902346,0.8211821897308239,0.02662539026908219,0.8911864672555352,0.02333470629192356
33,0.96,0.010248644896874043,0.9541666666666668,0.011876827344782702,0.9598016800884162,0.010299082064468437,0.9538873022530808,0.012049725889951141
34,0.8541666666666667,0.03240906080438339,0.89375,0.026516504294495515,0.855009075590926,0.032008110072629825,0.8855241807892438,0.03558447296115918
35,0.9270833333333334,0.0,0.9395833333333333,0.005892556509887875,0.9263852221352169,0.000759239680311674,0.9391634221071135,0.006224899092185543
37,0.8729166666666667,,0.8979166666666667,,0.8673162054784599,,0.879340905788665,
38,0.8583333333333333,0.04419417382415922,0.8770833333333333,0.008838834764831813,0.8574818462799861,0.044563077729218956,0.8748086069986615,0.007244449212171358
39,0.9208333333333333,,0.9666666666666667,,0.9153590911172138,,0.966280860487767,
40,0.7,,0.7333333333333333,,0.6524962345293588,,0.6813334431980825,
41,0.7833333333333333,,0.7958333333333333,,0.7701201472085853,,0.7893161945766383,
42,0.8625,,0.9291666666666667,,0.8612598916016919,,0.9274705779159834,
43,0.8930555555555556,0.04341805286761275,0.9368055555555556,0.015636569790552366,0.8834684734163051,0.05338049514526998,0.9328613716872732,0.016914552416607827
44,0.8645833333333334,,0.8625,,0.8626185751383026,,0.8608723799209225,
45,0.8229166666666666,,0.85,,0.8177435960966154,,0.8440758382182739,
46,0.8375,0.055979286843934974,0.8541666666666666,0.03830161731427135,0.8237176610885468,0.06960789370856255,0.8467461517537466,0.043510394025357724
49,0.9,,0.8770833333333333,,0.8675430010629461,,0.8449805808234085,
