pair,original_mean,original_std,improved_mean,improved_std,delta_mean
class_3_to_6,75.6,33.36398590629656,66.8,28.015075306778037,-8.799999999999997
class_6_to_3,86.7,31.580760669186617,96.0,43.08131845707603,9.299999999999997
