case_type,num_samples,top1_confidence_mean,top1_confidence_std,top1_confidence_median,top1_confidence_q1,top1_confidence_q3,true_class_probability_mean,true_class_probability_std,true_class_probability_median,true_class_probability_q1,true_class_probability_q3,pred_class_probability_mean,pred_class_probability_std,pred_class_probability_median,pred_class_probability_q1,pred_class_probability_q3,probability_margin_mean,probability_margin_std,probability_margin_median,probability_margin_q1,probability_margin_q3
correct_class_3,236,0.9891965270547544,0.04009643840627329,0.9992792308330536,0.9979491233825682,0.9995473325252533,0.9891965270547544,0.04009643840627329,0.9992792308330536,0.9979491233825682,0.9995473325252533,0.9891965270547544,0.04009643840627329,0.9992792308330536,0.9979491233825682,0.9995473325252533,0.9794704812060661,0.07704389189185291,0.9986049617582466,0.9960956391005311,0.9991320707194973
correct_class_6,227,0.9879515788103516,0.05911378283900552,0.9996135830879213,0.9981536269187927,0.9997800588607788,0.9879515788103516,0.05911378283900552,0.9996135830879213,0.9981536269187927,0.9997800588607788,0.9879515788103516,0.05911378283900552,0.9996135830879213,0.9981536269187927,0.9997800588607788,0.9773883178525983,0.11362219694171506,0.9994499822205399,0.9970606087590568,0.9996902460807178
class_3_to_6_error,72,0.9570994650324186,0.09566026890600526,0.9970518052577972,0.9801661223173143,0.999392032623291,0.02874410935252547,0.08518348942800544,0.00121370941633355,0.000310314368107325,0.00646304036490615,0.9570994650324186,0.09566026890600526,0.9970518052577972,0.9801661223173143,0.999392032623291,0.9178100959104794,0.18739431201309473,0.995012202532962,0.9625577768310905,0.9990740885623381
class_6_to_3_error,89,0.9795481107208166,0.06693728411418914,0.9992861151695251,0.996601939201355,0.9995490908622742,0.020260101550172317,0.06682150965421566,0.0006498432485386,0.0004128731379751,0.0033238076139241,0.9795481107208166,0.06693728411418914,0.9992861151695251,0.996601939201355,0.9995490908622742,0.9592880091706443,0.133757388174522,0.9986314172274434,0.9932781315874308,0.9991362177242991
