model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,lstm_hidden,dropout,host,gpu_local_id,cuda_visible_devices,pid
CNN_LSTM,1,1,43,0.0001,32,0.0003,10,10,7,0.8703542340945148,0.8703542340945148,0.8729166666666667,0.686549985408783,0.7314088676656996,0.38250135592051915,0.686549985408783,0.04485888225691659,0.8630058579575742,0.004621744795152094,0.8616524931407769,311.9319180753082,11500492,,,0.05,ok,,,128,0.5,ubuntu,0,0,287036
CNN_LSTM,1,2,44,0.0003,8,0.0001,10,10,9,0.9226557831272891,0.9226557831272891,0.9223214285714286,0.5181861506331534,0.6276427161125909,0.42669466347921464,0.5181861506331534,0.1094565654794375,0.8928192896071163,0.03157814769417168,0.8922710429520428,779.3919852152467,11318988,,,0.05,ok,,,64,0.3,ubuntu,1,1,287917
CNN_LSTM,1,3,45,0.0001,16,0.0001,10,10,7,0.8731491958431454,0.8731491958431454,0.8729166666666667,0.6553931403727759,0.7264334384884154,0.45922867479778473,0.6553931403727759,0.0710402981156395,0.8643341964311999,0.005346700350159351,0.8632771868033783,459.9220580365509,11318988,,,0.05,ok,,,64,0.3,ubuntu,4,4,288140
CNN_LSTM,1,4,46,0.0003,32,0.0001,10,10,8,0.918859588036475,0.918859588036475,0.919047619047619,0.5403453154223306,0.694910603761673,0.39708368414924256,0.5403453154223306,0.15456528833934247,0.9008857571042777,0.01486853523549163,0.8764400876568027,311.85580118373036,11500492,,,0.05,ok,,,128,0.5,ubuntu,6,6,289211
CNN_LSTM,1,5,47,0.0003,8,0.0003,10,10,6,0.9183783947097867,0.9183783947097867,0.91875,0.5447220171491305,0.5964262251343045,0.4463083664718128,0.5447220171491305,0.051704207985174055,0.9089729925623841,0.0065099577744264035,0.9140273991422436,851.903645189479,11714764,,,0.05,ok,,,192,0.5,ubuntu,5,5,289411
CNN_LSTM,1,6,48,0.0003,8,0.001,10,10,9,0.9181059486635651,0.9181059486635651,0.9184523809523809,0.5450151549208732,0.5493147591040248,0.4233323262986683,0.5450151549208732,0.004299604183151673,0.8990343480027189,0.02079382879813865,0.9132025682473169,785.036805709824,11318988,,,0.05,ok,,,64,0.3,ubuntu,3,3,290265
CNN_LSTM,1,7,49,0.0001,32,0.001,10,10,8,0.8670649963834842,0.8670649963834842,0.8675595238095238,0.7005752943810962,0.7371026314440228,0.3802704391593025,0.7005752943810962,0.036527337062926546,0.8510087283400459,0.017453168728054934,0.8562845596270806,312.25782822445035,11500492,,,0.05,ok,,,128,0.5,ubuntu,7,7,290984
CNN_LSTM,1,8,50,0.0003,16,0.0003,10,10,7,0.9212149441969851,0.9212149441969851,0.9211309523809523,0.5369684129953385,0.6424277809404192,0.4266774984768459,0.5369684129953385,0.1054593679450807,0.9091527131911598,0.011987057909709314,0.8925666290236315,458.56830267980695,11500492,,,0.05,ok,,,128,0.5,ubuntu,0,0,293488
CNN_LSTM,1,9,51,0.0003,16,0.0003,10,10,9,0.918098041146428,0.918098041146428,0.9184523809523809,0.5656232402438209,0.6052951398349944,0.3440074971460161,0.5656232402438209,0.039671899591173454,0.9045284838194203,0.010679731450693777,0.9071689382053704,511.80464564450085,11714764,,,0.05,ok,,,192,0.3,ubuntu,6,6,294665
CNN_LSTM,1,10,52,0.0001,32,0.001,10,10,10,0.8477106921833898,0.8477106921833898,0.8494047619047619,0.7153769490264711,0.7153769490264711,0.4290837019398099,0.7153769490264711,0.0,0.8279371105045499,0.0159965957347673,0.8477106921833898,308.27961082942784,11318988,,,0.05,ok,,,64,0.5,ubuntu,7,7,295229
CNN_LSTM,1,11,53,0.0003,8,0.0003,10,10,8,0.9144139808930635,0.9144139808930635,0.9148809523809524,0.5865179662903149,0.5956550362564269,0.38604241198017486,0.5865179662903149,0.009137069966111966,0.908115144623717,0.004910574754446902,0.9136107530143006,831.2914365120232,11714764,,,0.05,ok,,,192,0.3,ubuntu,2,2,295691
CNN_LSTM,1,12,54,0.0003,32,0.001,10,10,6,0.913657031191237,0.913657031191237,0.9133928571428571,0.5660892063663119,0.6252589035601843,0.4264930188655853,0.5660892063663119,0.05916969719387244,0.903856853417523,0.010051009411370352,0.9124395985143341,347.903715942055,11714764,,,0.05,ok,,,192,0.5,ubuntu,4,4,296854
