model,epoch,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,test_loss_mean,test_loss_std,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std,lr_mean,lr_std,epoch_time_sec_mean,epoch_time_sec_std
CNN_LSTM,1,0.9678387136118752,0.034402874309599984,0.6622880180499384,0.10964828586802748,0.6283088866978263,0.05377366312829228,0.6739404761904761,0.011382104887295992,0.7633333333333333,0.03197733198134262,0.7716927083333334,0.020333652477620277,0.8120352747961859,0.02764062409016572,0.7536778427449206,0.0374783979853099,0.762786524819288,0.024539302532974757,0.0003,0.0,57.63566892091185,2.300703035740481
CNN_LSTM,2,0.4589313540458678,0.027071448295667152,0.5227877630896511,0.11044449831231916,0.5174612106728211,0.08525312635723292,0.8401785714285713,0.009701467967561576,0.8153869047619047,0.027919159053235457,0.82125,0.028975169133444736,0.8783074346323643,0.015812971925261855,0.8085003664981715,0.030843217432202825,0.8143215547359294,0.0318580986733727,0.0003,0.0,56.1046672038734,1.295904451308048
CNN_LSTM,3,0.34052475343147914,0.020091247919211602,0.49250289276375303,0.08681746274199247,0.48146772916680974,0.0572062733526384,0.8867261904761905,0.0065110813152793314,0.8375595238095238,0.022138714267954777,0.8452604166666667,0.01535442814114766,0.9108909830248555,0.01662160069838535,0.8339606852235935,0.023111441359135006,0.8423515546269702,0.015991172850739515,0.0003,0.0,55.836845628172156,1.3614083978408342
CNN_LSTM,4,0.26463013335494767,0.017879811807941015,0.4676681695437236,0.10010732200329155,0.5114167608115046,0.08692390150405761,0.914345238095238,0.0052144427508908605,0.8475595238095238,0.021382961454493973,0.8375260416666667,0.022197608031597895,0.9253921221320356,0.0159060741106704,0.8441713802999656,0.022034540022975304,0.8329916005948753,0.026145256252560256,0.0003,0.0,55.58848686851561,1.3810219113271296
CNN_LSTM,5,0.21089591670462057,0.014450458174117425,0.4707637791416519,0.1493761701376388,0.4620015536125478,0.08582055261104357,0.9331904761904763,0.0043627519047515695,0.8591666666666666,0.033623137875645775,0.8602343749999999,0.023997944936167716,0.9473860654204644,0.012688855034815011,0.8573685251268653,0.03493861566232263,0.8587289216952005,0.024527939733099323,0.000285,4.7434164902525676e-05,56.03244395367801,1.5651006160062302
CNN_LSTM,6,0.1656455333857309,0.019093848049832628,0.4655498373464105,0.13969354345631446,0.4718891255180157,0.134020012661791,0.9498095238095239,0.00665785036850126,0.8650297619047619,0.031074637091328548,0.8674479166666667,0.028234365979437247,0.9594242916640265,0.013129606238480194,0.8628811923283923,0.030730942002627656,0.8655557543007518,0.029733256688558047,0.00025499999999999996,7.245688373094718e-05,55.22420035880059,1.736371156432737
CNN_LSTM,7,0.12778538954328916,0.024342958690968163,0.4393048480883728,0.15385187911234072,0.44523066238228537,0.10826232808156691,0.9629404761904763,0.007727719947096356,0.8791964285714287,0.03124903941582351,0.8786197916666666,0.017910765103894034,0.9742261426016693,0.008683955465219719,0.878312429523805,0.03111452129237429,0.8773185780567158,0.01915676519874161,0.00023999999999999998,7.745966692414833e-05,55.5673407074064,2.18570833410354
CNN_LSTM,8,0.10207013759442733,0.026272724118393473,0.44284654979028604,0.13636886089136843,0.45925689607533665,0.08857099444461121,0.9711190476190475,0.008491405181426215,0.8827678571428571,0.02667320949708309,0.880546875,0.012652814224624286,0.9809707045747496,0.009761994945868354,0.8821110021368327,0.027493374067271446,0.8792866673547677,0.013206329685258493,0.000225,7.905694150420948e-05,56.04216688331216,2.3419999348989613
CNN_LSTM,9,0.08287359851527779,0.026210287115796323,0.43397157498815514,0.14214967170753412,0.4361877227606116,0.0831369385364409,0.9772321428571429,0.007974475157102317,0.8907738095238095,0.02416972900033447,0.8901041666666666,0.01248371334813215,0.9861957542948154,0.0076603317956825245,0.890115171437623,0.02421803671605454,0.8895779187984149,0.012392284319152196,0.00021749999999999997,8.979142498033985e-05,55.12056867331266,1.8819584637718914
CNN_LSTM,10,0.06791351667756122,0.022897840552872858,0.4505954117140278,0.13140753671598246,0.4598553065063363,0.09621884717908237,0.981672619047619,0.007386201517160522,0.8885416666666666,0.025123016343113883,0.8893489583333333,0.016436512176638735,0.988541289049698,0.008712999341896318,0.8875502713680332,0.024849471889875942,0.8886825930431954,0.01649567990307693,0.00017999999999999998,8.803408430829505e-05,95.4172565145418,124.19703996457285
