model,seed,best_config_path,hpo_trial_id,hpo_best_val_f1,hpo_best_val_acc,main_best_val_f1,main_test_macro_f1,config_json
TCN,49,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8491074551526211,0.8491071428571428,0.8630703504008471,0.8327495927327871,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.003, ""num_channels"": 128, ""dropout"": 0.3}"
Transformer,49,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.7260721090914452,0.7273809523809524,0.7623029252849859,0.70003786157596,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.0003, ""d_model"": 96, ""nhead"": 2, ""num_layers"": 2, ""dim_feedforward"": 192, ""dropout"": 0.2, ""pooling"": ""mean"", ""norm_first"": true}"
LeNet,50,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8700780555716586,0.8699404761904762,0.8608023963827306,0.8727412197847592,"{""lr"": 0.0005, ""batch_size"": 16, ""weight_decay"": 0.0001}"
ResNet18,50,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.927855386750874,0.9282738095238096,0.9142047163003192,0.9179788141560524,"{""lr"": 0.0007, ""batch_size"": 16, ""weight_decay"": 0.0001}"
MobileNet_V2,50,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927849598657493,0.9279761904761904,0.930220066006596,0.9114758818263762,"{""lr"": 0.0006, ""batch_size"": 16, ""weight_decay"": 0.0003}"
EfficientNet_B0,50,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927666501545176,0.9276785714285716,0.9306424217512052,0.9157285036165478,"{""lr"": 0.0007, ""batch_size"": 32, ""weight_decay"": 0.001}"
LSTM,50,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.853851172519032,0.8541666666666666,0.8491733257560377,0.8358132546219795,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
GRU,50,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8597778948514966,0.8598214285714286,0.8576310574282862,0.8514565749565035,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
CNN_LSTM,50,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.9330062524222136,0.9330357142857144,0.921310964016668,0.8968722241450976,"{""lr"": 0.0003, ""batch_size"": 32, ""weight_decay"": 0.0001, ""lstm_hidden"": 128, ""dropout"": 0.5}"
LeNet_LSTM,50,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.9125238886919388,0.9125,0.9048752344907972,0.8991619799385813,"{""lr"": 0.0006, ""batch_size"": 64, ""weight_decay"": 0.0001, ""feature_dim"": 128, ""encoder_hidden_dim"": 96, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.3, ""use_last_only"": false, ""bidirectional"": false}"
TCN,50,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8491074551526211,0.8491071428571428,0.8570105843540029,0.8119810273086384,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.003, ""num_channels"": 128, ""dropout"": 0.3}"
Transformer,50,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.7260721090914452,0.7273809523809524,0.7424602850684964,0.7031261184243691,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.0003, ""d_model"": 96, ""nhead"": 2, ""num_layers"": 2, ""dim_feedforward"": 192, ""dropout"": 0.2, ""pooling"": ""mean"", ""norm_first"": true}"
LeNet,51,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8700780555716586,0.8699404761904762,0.8626241638594413,0.8999865703690451,"{""lr"": 0.0005, ""batch_size"": 16, ""weight_decay"": 0.0001}"
ResNet18,51,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.927855386750874,0.9282738095238096,0.9212905783086192,0.9403582553514754,"{""lr"": 0.0007, ""batch_size"": 16, ""weight_decay"": 0.0001}"
MobileNet_V2,51,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927849598657493,0.9279761904761904,0.9122213115601032,0.9134616024865628,"{""lr"": 0.0006, ""batch_size"": 16, ""weight_decay"": 0.0003}"
EfficientNet_B0,51,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927666501545176,0.9276785714285716,0.925946525329478,0.93060919742305,"{""lr"": 0.0007, ""batch_size"": 32, ""weight_decay"": 0.001}"
LSTM,51,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.853851172519032,0.8541666666666666,0.8453734242702815,0.8408440474398264,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
GRU,51,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8597778948514966,0.8598214285714286,0.8614926258014998,0.8425126042468909,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
CNN_LSTM,51,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.9330062524222136,0.9330357142857144,0.9001414472608813,0.9189416259827228,"{""lr"": 0.0003, ""batch_size"": 32, ""weight_decay"": 0.0001, ""lstm_hidden"": 128, ""dropout"": 0.5}"
LeNet_LSTM,51,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.9125238886919388,0.9125,0.9075585539800592,0.9084694536326088,"{""lr"": 0.0006, ""batch_size"": 64, ""weight_decay"": 0.0001, ""feature_dim"": 128, ""encoder_hidden_dim"": 96, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.3, ""use_last_only"": false, ""bidirectional"": false}"
TCN,51,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8491074551526211,0.8491071428571428,0.8400931139329552,0.841150879980927,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.003, ""num_channels"": 128, ""dropout"": 0.3}"
Transformer,51,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.7260721090914452,0.7273809523809524,0.7438386747057114,0.7386868092974511,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.0003, ""d_model"": 96, ""nhead"": 2, ""num_layers"": 2, ""dim_feedforward"": 192, ""dropout"": 0.2, ""pooling"": ""mean"", ""norm_first"": true}"
