model,seed,best_config_path,hpo_trial_id,hpo_best_val_f1,hpo_best_val_acc,main_best_val_f1,main_test_macro_f1,config_json
TCN,44,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8491074551526211,0.8491071428571428,0.8703927376301578,0.839535540743498,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.003, ""num_channels"": 128, ""dropout"": 0.3}"
Transformer,44,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.7260721090914452,0.7273809523809524,0.7668193808224756,0.7065450507457571,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.0003, ""d_model"": 96, ""nhead"": 2, ""num_layers"": 2, ""dim_feedforward"": 192, ""dropout"": 0.2, ""pooling"": ""mean"", ""norm_first"": true}"
LeNet,45,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8700780555716586,0.8699404761904762,0.8602281219642286,0.8329702632864584,"{""lr"": 0.0005, ""batch_size"": 16, ""weight_decay"": 0.0001}"
ResNet18,45,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.927855386750874,0.9282738095238096,0.9213056985942776,0.9078148242696642,"{""lr"": 0.0007, ""batch_size"": 16, ""weight_decay"": 0.0001}"
MobileNet_V2,45,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927849598657493,0.9279761904761904,0.9247667941057376,0.896647431245003,"{""lr"": 0.0006, ""batch_size"": 16, ""weight_decay"": 0.0003}"
EfficientNet_B0,45,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927666501545176,0.9276785714285716,0.9265584554669702,0.9021658319896004,"{""lr"": 0.0007, ""batch_size"": 32, ""weight_decay"": 0.001}"
LSTM,45,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.853851172519032,0.8541666666666666,0.8018722319858723,0.842613906673905,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
GRU,45,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8597778948514966,0.8598214285714286,0.8174617392616744,0.8652105091751744,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
CNN_LSTM,45,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.9330062524222136,0.9330357142857144,0.8644791262584376,0.8887537423499,"{""lr"": 0.0003, ""batch_size"": 32, ""weight_decay"": 0.0001, ""lstm_hidden"": 128, ""dropout"": 0.5}"
LeNet_LSTM,45,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.9125238886919388,0.9125,0.8913928545620201,0.8978304265657503,"{""lr"": 0.0006, ""batch_size"": 64, ""weight_decay"": 0.0001, ""feature_dim"": 128, ""encoder_hidden_dim"": 96, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.3, ""use_last_only"": false, ""bidirectional"": false}"
