model,seed,epoch,train_acc,val_acc,test_acc
LeNet,42,1,0.6954166666666667,0.7178571428571429,0.7755208333333333
LeNet,42,2,0.8492857142857143,0.7744047619047619,0.8138020833333334
LeNet,42,3,0.8901190476190476,0.8038690476190476,0.8234375
LeNet,42,4,0.9164285714285716,0.8047619047619048,0.8299479166666667
LeNet,42,5,0.929702380952381,0.8199404761904762,0.8328125
LeNet,42,6,0.9439285714285716,0.8324404761904762,0.84765625
LeNet,42,7,0.9541071428571428,0.8193452380952381,0.8403645833333333
LeNet,42,8,0.9624404761904762,0.812202380952381,0.8346354166666666
LeNet,42,9,0.9661904761904762,0.8214285714285714,0.8369791666666667
LeNet,42,10,0.9838690476190476,0.8392857142857143,0.8489583333333334
LeNet,42,11,0.986845238095238,0.8333333333333334,0.84765625
LeNet,42,12,0.988095238095238,0.8395833333333333,0.8369791666666667
LeNet,42,13,0.9947619047619048,0.8383928571428572,0.8440104166666667
LeNet,42,14,0.9967857142857144,0.8422619047619048,0.8526041666666667
LeNet,42,15,0.9964880952380952,0.8369047619047619,0.83828125
LeNet,42,16,0.9982142857142856,0.8416666666666667,0.8546875
LeNet,42,17,0.9986309523809525,0.8401785714285714,0.8432291666666667
LeNet,42,18,0.9989880952380952,0.8446428571428571,0.8466145833333333
LeNet,42,19,0.999404761904762,0.8386904761904762,0.8486979166666667
LeNet,42,20,0.9996428571428572,0.8413690476190476,0.8520833333333333
LeNet,42,21,0.9995238095238096,0.8443452380952381,0.8549479166666667
LeNet,42,22,0.9995833333333334,0.84375,0.8518229166666667
LeNet,42,23,0.9996428571428572,0.8419642857142857,0.8510416666666667
LeNet,42,24,0.9997619047619049,0.8413690476190476,0.85078125
LeNet,42,25,0.9997619047619049,0.8416666666666667,0.8497395833333333
ResNet18,42,1,0.7927380952380952,0.8672619047619048,0.8559895833333333
ResNet18,42,2,0.9053571428571427,0.8857142857142857,0.86015625
ResNet18,42,3,0.9285714285714286,0.8863095238095238,0.8723958333333334
