model,seed,selected_epoch,selection_metric,best_val_f1,best_val_acc,best_val_loss,test_accuracy,test_macro_f1,checkpoint_path
MobileNet_V2,44,23,best_val_f1_max,0.9267959640582728,0.9267857142857144,0.700843030099266,0.9236979166666668,0.9230946630032816,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/MobileNet_V2_seed44/subject_seed44/checkpoints/MobileNet_V2_seed44_best.pt
EfficientNet_B0,44,24,best_val_f1_max,0.930114856675389,0.9294642857142856,0.6092660699905883,0.92578125,0.925709137056852,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/EfficientNet_B0_seed44/subject_seed44/checkpoints/EfficientNet_B0_seed44_best.pt
LSTM,44,20,best_val_f1_max,0.8940990582447309,0.8925595238095239,0.6755049736151705,0.834375,0.8344269982835432,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LSTM_seed44/subject_seed44/checkpoints/LSTM_seed44_best.pt
GRU,44,13,best_val_f1_max,0.8774435052209365,0.8767857142857143,0.7664591785847387,0.8434895833333333,0.8423491665890817,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/GRU_seed44/subject_seed44/checkpoints/GRU_seed44_best.pt
CNN_LSTM,44,11,best_val_f1_max,0.9023950690869804,0.9020833333333332,0.5119184786381776,0.896875,0.8971346247762506,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/CNN_LSTM_seed44/subject_seed44/checkpoints/CNN_LSTM_seed44_best.pt
LeNet_LSTM,44,15,best_val_f1_max,0.9135892033404605,0.911904761904762,0.450024272758691,0.9041666666666668,0.9047657306121504,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_LSTM_seed44/subject_seed44/checkpoints/LeNet_LSTM_seed44_best.pt
TCN,44,22,best_val_f1_max,0.8703927376301578,0.8681547619047619,1.4596629447536469,0.8393229166666667,0.839535540743498,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/TCN_seed44/subject_seed44/checkpoints/TCN_seed44_best.pt
Transformer,44,21,best_val_f1_max,0.7668193808224756,0.76875,1.801233629425871,0.7127604166666667,0.7065450507457571,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/Transformer_seed44/subject_seed44/checkpoints/Transformer_seed44_best.pt
LeNet,45,15,best_val_f1_max,0.8602281219642286,0.8589285714285714,0.6090842348758521,0.8341145833333333,0.8329702632864584,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_seed45/subject_seed45/checkpoints/LeNet_seed45_best.pt
ResNet18,45,23,best_val_f1_max,0.9213056985942776,0.9208333333333332,0.5363628269456594,0.9072916666666668,0.9078148242696642,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/ResNet18_seed45/subject_seed45/checkpoints/ResNet18_seed45_best.pt
MobileNet_V2,45,15,best_val_f1_max,0.9247667941057376,0.924702380952381,0.3878491107445698,0.8966145833333333,0.896647431245003,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/MobileNet_V2_seed45/subject_seed45/checkpoints/MobileNet_V2_seed45_best.pt
EfficientNet_B0,45,19,best_val_f1_max,0.9265584554669702,0.9261904761904762,0.4704362237213155,0.9026041666666668,0.9021658319896004,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/EfficientNet_B0_seed45/subject_seed45/checkpoints/EfficientNet_B0_seed45_best.pt
LSTM,45,15,best_val_f1_max,0.8018722319858723,0.8005952380952381,0.999808614737066,0.84375,0.842613906673905,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LSTM_seed45/subject_seed45/checkpoints/LSTM_seed45_best.pt
GRU,45,10,best_val_f1_max,0.8174617392616744,0.8151785714285714,0.9171546765860902,0.8653645833333333,0.8652105091751744,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/GRU_seed45/subject_seed45/checkpoints/GRU_seed45_best.pt
CNN_LSTM,45,9,best_val_f1_max,0.8644791262584376,0.8633928571428572,0.5495032225200529,0.8888020833333333,0.8887537423499,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/CNN_LSTM_seed45/subject_seed45/checkpoints/CNN_LSTM_seed45_best.pt
LeNet_LSTM,45,6,best_val_f1_max,0.8913928545620201,0.8898809523809523,0.3733565865882805,0.8971354166666666,0.8978304265657503,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_LSTM_seed45/subject_seed45/checkpoints/LeNet_LSTM_seed45_best.pt
TCN,45,15,best_val_f1_max,0.8097044820075879,0.8080357142857143,1.5219426178434723,0.8458333333333333,0.8461094566188597,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/TCN_seed45/subject_seed45/checkpoints/TCN_seed45_best.pt
Transformer,45,22,best_val_f1_max,0.6994843663787176,0.6976190476190476,2.414475778894332,0.7471354166666667,0.7462090818442303,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/Transformer_seed45/subject_seed45/checkpoints/Transformer_seed45_best.pt
LeNet,46,25,best_val_f1_max,0.8877854913165101,0.8889880952380952,0.4289995635021894,0.8489583333333334,0.8474749777650015,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_seed46/subject_seed46/checkpoints/LeNet_seed46_best.pt
ResNet18,46,14,best_val_f1_max,0.9334122369626956,0.9345238095238096,0.3162257003755541,0.9114583333333334,0.9118958362224336,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/ResNet18_seed46/subject_seed46/checkpoints/ResNet18_seed46_best.pt
MobileNet_V2,46,21,best_val_f1_max,0.9301353384782862,0.931845238095238,0.4242874598493928,0.9122395833333332,0.911924484535588,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/MobileNet_V2_seed46/subject_seed46/checkpoints/MobileNet_V2_seed46_best.pt
EfficientNet_B0,46,14,best_val_f1_max,0.94158433934412,0.9416666666666668,0.2567269209745859,0.91328125,0.9130199821428489,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/EfficientNet_B0_seed46/subject_seed46/checkpoints/EfficientNet_B0_seed46_best.pt
LSTM,46,25,best_val_f1_max,0.8671538139911629,0.8669642857142857,0.7214070241745156,0.8268229166666666,0.8270206429372182,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LSTM_seed46/subject_seed46/checkpoints/LSTM_seed46_best.pt
GRU,46,18,best_val_f1_max,0.8798676636490496,0.8794642857142857,0.709970230813044,0.8348958333333333,0.8341190055565487,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/GRU_seed46/subject_seed46/checkpoints/GRU_seed46_best.pt
CNN_LSTM,46,12,best_val_f1_max,0.9327135940736472,0.9339285714285714,0.2813835883869268,0.88046875,0.8790728832203859,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/CNN_LSTM_seed46/subject_seed46/checkpoints/CNN_LSTM_seed46_best.pt
LeNet_LSTM,46,12,best_val_f1_max,0.916535862930005,0.918154761904762,0.2788953499214369,0.8989583333333333,0.8988833256542407,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_LSTM_seed46/subject_seed46/checkpoints/LeNet_LSTM_seed46_best.pt
TCN,46,24,best_val_f1_max,0.8518096929456274,0.8529761904761904,1.2106283240050997,0.8403645833333333,0.8401117605311281,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/TCN_seed46/subject_seed46/checkpoints/TCN_seed46_best.pt
Transformer,46,17,best_val_f1_max,0.7734415262088362,0.7758928571428572,1.3999559642418673,0.69453125,0.6888603184315433,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/Transformer_seed46/subject_seed46/checkpoints/Transformer_seed46_best.pt
LeNet,47,24,best_val_f1_max,0.8442233353117246,0.844047619047619,0.777724375990649,0.8565104166666667,0.8563190119589769,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_seed47/subject_seed47/checkpoints/LeNet_seed47_best.pt
ResNet18,47,16,best_val_f1_max,0.921315229760565,0.9211309523809524,0.6852387382099637,0.95078125,0.9508302296544008,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/ResNet18_seed47/subject_seed47/checkpoints/ResNet18_seed47_best.pt
MobileNet_V2,47,22,best_val_f1_max,0.91907767269283,0.9184523809523808,0.608772290636137,0.9401041666666666,0.9402142118080502,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/MobileNet_V2_seed47/subject_seed47/checkpoints/MobileNet_V2_seed47_best.pt
EfficientNet_B0,47,20,best_val_f1_max,0.921347014689284,0.9205357142857142,0.5880974631833235,0.9442708333333332,0.9442709073991388,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/EfficientNet_B0_seed47/subject_seed47/checkpoints/EfficientNet_B0_seed47_best.pt
LSTM,47,11,best_val_f1_max,0.8214131314859251,0.8208333333333333,0.8409177879298416,0.86171875,0.8615318325458325,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LSTM_seed47/subject_seed47/checkpoints/LSTM_seed47_best.pt
