epoch,train_loss,val_loss,val_acc,val_f1,lr,epoch_time_s,cum_time_s
1.0,1.3292386234374274,1.0507263178449302,0.6172619047619048,0.6078995780924167,0.0003,27.179057080298662,27.179057080298662
2.0,0.6652536235536848,0.8751149424085659,0.6732142857142858,0.6709877735057557,0.0003,14.207747219130397,41.38680429942906
3.0,0.45178932871137345,0.8165026192786172,0.7074404761904762,0.7056307288958737,0.0003,14.489295145496726,55.876099444925785
4.0,0.3140105045835177,0.8042462129145861,0.7276785714285714,0.726498524145157,0.0003,14.987697534263134,70.86379697918892
5.0,0.23069183261621565,0.7987717027653984,0.7392857142857143,0.739296611678513,0.0003,15.856934018433094,86.72073099762201
6.0,0.17762750393577983,0.7400367061613083,0.7693452380952381,0.7703725174647982,0.0003,16.187404423952103,102.90813542157412
7.0,0.12734993858706384,0.8696444970836941,0.7559523809523809,0.7560398986612701,0.0003,15.905803507193923,118.81393892876804
8.0,0.11176829897931644,0.8828511567039338,0.7553571428571428,0.7548731534792518,0.0003,16.217607513070107,135.03154644183815
9.0,0.09543564418242091,0.8722594145226009,0.7589285714285714,0.7589462256600069,0.00015,16.36516985669732,151.39671629853547
10.0,0.0435279390783537,0.9162085991602951,0.7898809523809524,0.7904848608053195,0.00015,16.041777646169066,167.43849394470453
