model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,status,status_reason,error,num_channels,dropout,host,gpu_local_id,cuda_visible_devices,pid
TCN,1,1,43,5e-05,32,0.001,10,10,9,0.821603675362513,0.821603675362513,0.8208333333333333,1.051767578705767,0.8144373200941196,0.0063295797950984455,0.820084167570061,3762.137882463634,3899724,,,ok,,,192,0.3,ubuntu,0,0,767869
TCN,1,2,44,0.0001,16,0.001,10,10,10,0.7805168319877631,0.7805168319877631,0.7800595238095238,0.9055394091195749,0.761917905832873,0.013539877344578422,0.7805168319877631,1603.6861916724592,783820,,,ok,,,64,0.5,ubuntu,1,1,767871
TCN,1,3,45,0.0001,16,0.001,10,10,10,0.8377442190797648,0.8377442190797648,0.8369047619047619,1.078392149817033,0.8249382247586702,0.008725384740909075,0.8377442190797648,2561.6586415320635,2083724,,,ok,,,128,0.3,ubuntu,2,2,767872
TCN,1,4,46,0.0001,32,0.003,10,10,10,0.8080195641607418,0.8080195641607418,0.8071428571428572,0.9967827481153931,0.7850585324726479,0.01286333047133277,0.8080195641607418,2641.8409812040627,2083724,,,ok,,,128,0.5,ubuntu,3,3,767873
TCN,1,5,47,0.0001,32,0.001,10,10,8,0.8105001320676138,0.8105001320676138,0.8104166666666667,0.8838556991474303,0.7997757572256285,0.008963500618610452,0.8096393449412309,1529.257452795282,783820,,,ok,,,64,0.3,ubuntu,4,4,767874
TCN,1,6,48,0.0001,64,0.001,10,10,10,0.7365907153767116,0.7365907153767116,0.7357142857142858,1.013979081596647,0.7171940220353472,0.014322360703047456,0.7365907153767116,1305.3592069111764,783820,,,ok,,,64,0.5,ubuntu,5,5,767875
TCN,1,7,49,5e-05,16,0.003,10,10,9,0.7342032724496471,0.7342032724496471,0.7360119047619048,0.8576957526436586,0.7189375157944115,0.013798526480204206,0.7310134087921144,1458.7587335612625,783820,,,ok,,,64,0.5,ubuntu,5,5,781142
TCN,1,8,50,0.0001,16,0.003,10,10,8,0.8357767895772151,0.8357767895772151,0.8357142857142857,0.9437066260286854,0.8233786549912352,0.00810542436619792,0.8198801726831206,2688.1785578392446,2083724,,,ok,,,128,0.3,ubuntu,4,4,783332
TCN,1,9,51,5e-05,32,0.003,10,10,8,0.8236676262561047,0.8236676262561047,0.8235119047619047,0.8892265973865592,0.8098350635244618,0.007420472137241342,0.8093222546438054,4109.438347192481,3899724,,,ok,,,192,0.3,ubuntu,1,1,784100
TCN,1,10,52,5e-05,32,0.003,10,10,10,0.7759839918781467,0.7759839918781467,0.775,0.9829970687062346,0.7651863374336952,0.009519875787275882,0.7759839918781467,1454.7486388478428,783820,,,ok,,,64,0.3,ubuntu,2,2,1352137
TCN,1,11,53,5e-05,16,0.001,10,10,9,0.785305142639129,0.785305142639129,0.7845238095238095,0.89111722772106,0.7681733419492495,0.013139739082233103,0.7786623807981298,2795.177009176463,2083724,,,ok,,,128,0.5,ubuntu,3,3,1376121
TCN,1,12,54,0.0001,16,0.001,10,10,9,0.8288297913266723,0.8288297913266723,0.8276785714285714,0.9466129837040393,0.8079924362239481,0.01390350137218303,0.8189560206558086,2903.7779649086297,2083724,,,ok,,,128,0.5,ubuntu,5,5,1422920
