model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_acc,best_val_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,status,status_reason,error,input_proj_dim,hidden_size,num_layers,dropout,use_last_only,host,gpu_local_id,cuda_visible_devices,pid
GRU,1,1,43,0.0003,8,1e-05,10,10,8,0.8746043138533387,0.8741071428571429,0.6184557072108159,0.8630045746913415,0.007746809953143822,0.8616810787934575,298.2880478706211,1516044,,,ok,,,512,256,2,0.3,False,ubuntu,0,0,2945881
GRU,1,2,44,0.0006,8,0.0001,10,10,10,0.8507516466371071,0.850297619047619,0.9154781115193925,0.8418596848741438,0.008336418376411716,0.8507516466371071,189.6095185596496,513292,,,ok,,,256,128,2,0.5,False,ubuntu,1,1,2945882
GRU,1,3,45,0.0003,8,0.0001,10,10,10,0.8079626709689701,0.8080357142857143,0.7725651579384119,0.7979287734638237,0.007716760275658356,0.8079626709689701,173.31407881714404,414220,,,ok,,,256,128,1,0.3,False,ubuntu,2,2,2945883
GRU,1,4,46,0.001,8,1e-05,10,10,9,0.8502239516126754,0.8497023809523809,0.6921059380324293,0.8288226086116378,0.0173130896786938,0.8416497366535519,197.20713506639004,1121292,,,ok,,,512,256,1,0.3,False,ubuntu,3,3,2945884
GRU,1,5,47,0.001,16,0.0001,10,10,10,0.8428515206006755,0.8425595238095238,0.7426409248675111,0.835158249611513,0.009183151756080673,0.8428515206006755,172.43652663566172,1121292,,,ok,,,512,256,1,0.5,False,ubuntu,4,4,2945885
GRU,1,6,48,0.0003,8,1e-05,10,10,10,0.8233278832764234,0.8223214285714285,0.7830145529558303,0.7941325879537257,0.017090305861997605,0.8233278832764234,165.58795179240406,414220,,,ok,,,256,128,1,0.5,False,ubuntu,5,5,2945886
GRU,1,7,49,0.0006,8,0.0001,10,10,10,0.8694665746821088,0.8705357142857143,0.7129790592925149,0.8594374972067487,0.010876482829404307,0.8694665746821088,332.8082422092557,1057036,,,ok,,,256,256,2,0.3,False,ubuntu,6,6,2946013
GRU,1,8,50,0.0003,16,1e-05,10,10,7,0.7882099264091448,0.7880952380952381,0.8307533809388544,0.7792693858456501,0.008649145386058972,0.7873407451144342,169.9784528184682,414220,,,ok,,,256,128,1,0.5,False,ubuntu,7,7,2946140
GRU,1,9,51,0.0003,8,1e-05,10,10,9,0.8278851687734137,0.8276785714285714,0.865071728601972,0.8195009729478067,0.009890241556024342,0.8277225702227229,179.1310346517712,873996,,,ok,,,512,128,2,0.3,False,ubuntu,8,8,2946141
GRU,1,10,52,0.001,16,1e-05,10,10,10,0.8620258663965291,0.862202380952381,0.6472421797322113,0.8525073075009226,0.01055097500005246,0.8620258663965291,170.8016511760652,662284,,,ok,,,256,256,1,0.5,False,ubuntu,9,9,2946205
GRU,1,11,53,0.0003,16,0.0001,10,10,10,0.7900961287882634,0.7901785714285714,0.9053163455104888,0.7801603935607068,0.012485155101169185,0.7900961287882634,153.02899046428502,414220,,,ok,,,256,128,1,0.3,False,ubuntu,5,5,2957246
GRU,1,12,54,0.0003,16,1e-05,10,10,10,0.8623121479049553,0.8625,0.7359918611768946,0.8526987133490866,0.007717593697359325,0.8623121479049553,245.78973347879946,1516044,,,ok,,,512,256,2,0.5,False,ubuntu,7,7,2957391
