model,seed,class_id,class_name,precision,recall,f1,support
CNN_LSTM,45,0,class_0,0.9493670886075919,0.937499999999997,0.9433962264145913,320
CNN_LSTM,45,1,class_1,0.9964157706093153,0.8687499999999972,0.9282136894819699,320
CNN_LSTM,45,2,class_2,0.8742690058479506,0.934374999999997,0.9033232628393768,320
CNN_LSTM,45,3,class_3,0.6389496717724275,0.9124999999999971,0.751608751608265,320
CNN_LSTM,45,4,class_4,0.9666666666666637,0.9968749999999968,0.9815384615379585,320
CNN_LSTM,45,5,class_5,0.9907120743034025,0.9999999999999968,0.9953343701394657,320
CNN_LSTM,45,6,class_6,0.8545454545454507,0.5874999999999981,0.6962962962958108,320
CNN_LSTM,45,7,class_7,0.9347826086956487,0.8062499999999975,0.8657718120800367,320
CNN_LSTM,45,8,class_8,0.863636363636361,0.8906249999999971,0.8769230769225742,320
CNN_LSTM,45,9,class_9,0.9874213836477955,0.9812499999999968,0.9843260188082743,320
CNN_LSTM,45,10,class_10,0.9347826086956492,0.940624999999997,0.9376947040493412,320
CNN_LSTM,45,11,class_11,0.7920489296636061,0.8093749999999974,0.8006182380211359,320
