epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_f1,val_macro_f1,lr,epoch_time_s,cum_time_s,is_best
1.0,2.0605203020005,0.5736904761904762,0.5685459622908263,1.9193337519963583,0.38511904761904764,0.370155836044234,0.370155836044234,9.779754323328192e-05,40.703423077240586,40.703423077240586,1.0
2.0,1.3363644020898002,0.746904761904762,0.7424415404743105,1.5693115929762522,0.5077380952380952,0.49692241956116506,0.49692241956116506,9.140576474687264e-05,24.15159424394369,64.85501732118428,1.0
3.0,0.9886358357894989,0.8357738095238095,0.8336526489679633,1.396070784472284,0.5842261904761905,0.5771783928863541,0.5771783928863541,8.14503363531613e-05,27.2233966588974,92.07841398008168,1.0
4.0,0.7997029280378705,0.8892857142857142,0.88847441675359,1.3079606318757648,0.6342261904761904,0.6311435101126555,0.6311435101126555,6.890576474687264e-05,23.390241477638483,115.46865545772016,1.0
5.0,0.6939278177420298,0.9251190476190476,0.9249068137584543,1.2793845852216086,0.6538690476190476,0.6534634080855757,0.6534634080855757,5.5e-05,26.28982111811638,141.75847657583654,1.0
6.0,0.6212570792152768,0.9375595238095238,0.9371786823114849,1.2791905119305564,0.6619047619047619,0.6572365660141598,0.6572365660141598,4.109423525312737e-05,26.549952449277043,168.30842902511358,1.0
7.0,0.5727708941981906,0.9513095238095238,0.9511359267903234,1.2878187603893734,0.6642857142857143,0.6625562385432533,0.6625562385432533,2.8549663646838717e-05,28.066311979666352,196.37474100477993,1.0
8.0,0.5398880870853151,0.9611309523809524,0.9610586200290779,1.2829515644482203,0.6714285714285714,0.6700337450088091,0.6700337450088091,1.859423525312737e-05,27.533293893560767,223.9080348983407,1.0
9.0,0.5177453832115446,0.9644642857142857,0.9643709150073448,1.30369518555346,0.6732142857142858,0.6710736593744676,0.6710736593744676,1.2202456766718093e-05,30.073474837467074,253.98150973580778,1.0
10.0,0.5043692547082901,0.9666071428571429,0.9665285156361759,1.3065088885171072,0.674702380952381,0.6731879627300991,0.6731879627300991,0.0001,28.296814784407616,282.2783245202154,1.0
