epoch,train_loss,val_loss,val_acc,val_f1,lr,epoch_time_s,cum_time_s
1.0,0.8041627354777995,0.6691141148402711,0.7931547619047619,0.7854181690198261,0.001,50.265120293945074,50.265120293945074
2.0,0.37516590074414297,0.38841199271118587,0.8717261904761905,0.8682696184283415,0.001,49.66754669509828,99.93266698904335
3.0,0.28875506943180446,0.4761047436904874,0.8473214285714286,0.8389311991501458,0.001,54.00050276145339,153.93316975049675
4.0,0.2201038420058432,0.4303606169948469,0.875297619047619,0.8731803710040079,0.001,51.18733356334269,205.12050331383944
5.0,0.17858456560543606,0.38878076671504197,0.8901785714285714,0.8904082588048606,0.0005,53.34131689555943,258.46182020939887
6.0,0.08223777556703205,0.3129946247104598,0.9083333333333333,0.9080916266261475,0.0005,50.72489266656339,309.18671287596226
7.0,0.07242556366892088,0.35886410892684734,0.9089285714285714,0.9085504297235755,0.0005,52.99998794682324,362.1867008227855
8.0,0.056485063022091275,0.3929271141555957,0.8979166666666667,0.8966628547606735,0.0005,59.28847900778055,421.47517983056605
9.0,0.05350486372198377,0.36684330968864765,0.9071428571428571,0.905606630580683,0.00025,61.25730925053358,482.73248908109963
10.0,0.021797281496581576,0.40162115793340075,0.9116071428571428,0.9114576980007554,0.00025,55.07259366847575,537.8050827495754
