model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_acc,best_val_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,status,status_reason,error,num_channels,dropout,host,gpu_local_id,cuda_visible_devices,pid
TCN,1,1,43,0.0001,8,1e-05,10,10,10,0.8372952225017037,0.8375,1.4681906292560871,0.8274027117821638,0.009508975193274443,0.8372952225017037,3021.877645911649,11543564,,,ok,,,512,0.0,ubuntu,0,0,2993731
TCN,1,2,44,0.0002,4,0.0001,10,10,10,0.8381754201536804,0.8380952380952381,2.17612443774412,0.8250725229664259,0.00842829988273518,0.8381754201536804,1827.8577900025994,3936780,,,ok,,,256,0.1,ubuntu,1,1,2993732
TCN,1,3,45,0.0002,4,0.0001,10,10,9,0.8479081669387973,0.8476190476190476,1.9343489004929149,0.8380427876349714,0.005618900539907829,0.8367444706205913,2302.610963182524,7281420,,,ok,,,384,0.0,ubuntu,2,2,2993733
TCN,1,4,46,0.0003,4,0.0001,10,10,10,0.8326126177259906,0.8321428571428572,2.733393784977537,0.8239625686925157,0.0074551603008566145,0.8326126177259906,2355.346842907369,7281420,,,ok,,,384,0.1,ubuntu,3,3,2993734
TCN,1,5,47,0.0002,8,0.0001,10,10,5,0.8349389503513572,0.8351190476190476,1.0447120801140213,0.8263610618460906,0.009707567983811687,0.8337941232164656,1538.3060756679624,3936780,,,ok,,,256,0.0,ubuntu,4,4,2993735
TCN,1,6,48,0.0003,4,1e-05,10,10,10,0.8325674884014095,0.8324404761904762,2.8062510362124486,0.8143782313902428,0.009879284787561013,0.8325674884014095,1658.4935938753188,3936780,,,ok,,,256,0.1,ubuntu,5,5,2993749
TCN,1,7,49,0.0001,8,0.0001,10,10,9,0.8457023884527931,0.8455357142857143,1.1203229708944018,0.8364747295730307,0.007866652523435156,0.8410535907398065,1541.2183844968677,3936780,,,ok,,,256,0.1,ubuntu,6,6,2993863
TCN,1,8,50,0.0003,8,1e-05,10,10,10,0.8396214377190557,0.8392857142857143,1.7101564686777373,0.8249019956556645,0.01245155285819724,0.8396214377190557,2206.344717361033,7281420,,,ok,,,384,0.0,ubuntu,7,7,2993927
TCN,1,9,51,0.0002,4,1e-05,10,10,10,0.8414543582548983,0.8425595238095238,2.9252081812347535,0.835913947148826,0.005266050914320059,0.8414543582548983,2932.6956344563514,11543564,,,ok,,,512,0.0,ubuntu,8,8,2993991
TCN,1,10,52,0.0002,4,1e-05,10,10,10,0.843590686990965,0.8431547619047619,1.8048849137658003,0.8400440649958274,0.00249694192465225,0.843590686990965,1836.4182143118232,3936780,,,ok,,,256,0.0,ubuntu,9,9,2993992
TCN,1,11,53,0.0001,4,1e-05,10,10,10,0.8484575007800461,0.8479166666666667,1.54861618457649,0.8400386540391385,0.007648927398546499,0.8484575007800461,2329.19549902156,7281420,,,ok,,,384,0.1,ubuntu,4,4,3013554
TCN,1,12,54,0.0002,4,0.0001,10,10,10,0.845266004964078,0.8443452380952381,2.282078391408974,0.8255884524295961,0.015256179085131792,0.845266004964078,2324.574537076056,7281420,,,ok,,,384,0.1,ubuntu,6,6,3013643
