epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1,lr,is_best
1,1.4795923032647087,1.1297107012498946,0.8325595238095238,0.6907738095238095,0.8310117300882095,0.6912607882058094,0.0001,0
2,0.8253865289404279,0.9621226705255964,0.9177380952380952,0.7553571428571428,0.9174859431061638,0.7557040971501131,0.0001,0
3,0.617056964124952,0.9005665567659197,0.9626785714285714,0.794345238095238,0.9626895546991996,0.7948811787595957,0.0001,0
4,0.52013700848534,0.9140143055291404,0.9782142857142856,0.7869047619047619,0.978237288928736,0.7873195325066455,0.0001,0
5,0.4595260784455708,0.8873004067511786,0.9860714285714286,0.8086309523809524,0.986068228571491,0.808356651649441,0.0001,0
6,0.4233101826338541,0.8657404188598905,0.9888095238095238,0.8160714285714286,0.9888270239908294,0.8168738532298706,0.0001,0
7,0.3986459155593599,0.8522442085402352,0.9919642857142856,0.8205357142857143,0.9919739806938392,0.8208587512090286,0.0001,0
8,0.3847421706290472,0.8226086921635128,0.9964285714285714,0.8386904761904762,0.9964283046854177,0.8394770596714389,0.0001,0
9,0.3787265063751311,0.8787946346260253,0.9941071428571427,0.8267857142857142,0.9941082032221628,0.8258969704173369,0.0001,0
10,0.3673848154147466,0.8724353219781603,0.9967857142857144,0.825297619047619,0.9967864861553404,0.8245087898721578,0.0001,0
11,0.36037308602106,0.8169841642890657,0.9975595238095238,0.8366071428571429,0.9975598368369532,0.8363454775329883,0.0001,0
12,0.3500381796984445,0.8485534965991974,0.9985119047619048,0.8354166666666667,0.998512306003505,0.8358409577554352,0.0001,0
13,0.3578722723892757,0.8858198825802122,0.9976190476190476,0.8285714285714286,0.9976192997374,0.8283770740854398,0.0001,0
14,0.3435546850306647,0.8648868543761117,0.99875,0.830654761904762,0.9987501470417492,0.8311898130335807,5e-05,0
15,0.3314975013903209,0.8185794793424153,0.9997619047619049,0.8443452380952381,0.9997619047310348,0.8447154728378553,5e-05,0
16,0.3254758234251113,0.811113760301045,0.9999404761904762,0.8467261904761905,0.999940476182383,0.8469595857827348,5e-05,0
17,0.3240222448678244,0.8511240939299266,0.9998809523809524,0.8345238095238096,0.9998809523652672,0.8342065910742914,5e-05,0
18,0.3219513985088893,0.8014433596815381,0.9999404761904762,0.8491071428571428,0.999940476182383,0.8491074551526211,5e-05,1
