model,seed,class_id,class_name,precision,recall,f1,support
ResNet18,47,0,class_0,0.9999999999999968,0.9968749999999968,0.9984350547725798,320
ResNet18,47,1,class_1,0.9999999999999968,0.9937499999999968,0.9968652037612522,320
ResNet18,47,2,class_2,0.9936908517350126,0.9843749999999969,0.9890109890104858,320
ResNet18,47,3,class_3,0.8121019108280229,0.7968749999999974,0.8044164037849864,320
ResNet18,47,4,class_4,0.9968749999999968,0.9968749999999968,0.9968749999994968,320
ResNet18,47,5,class_5,0.9968652037617522,0.9937499999999968,0.9953051643187456,320
ResNet18,47,6,class_6,0.7914110429447828,0.8062499999999975,0.7987616099066183,320
ResNet18,47,7,class_7,0.9522292993630542,0.934374999999997,0.9432176656146389,320
ResNet18,47,8,class_8,0.9659442724458174,0.9749999999999969,0.9704510108859664,320
ResNet18,47,9,class_9,0.9906249999999969,0.9906249999999969,0.9906249999994968,320
ResNet18,47,10,class_10,0.9281437125748474,0.9687499999999969,0.9480122324153992,320
ResNet18,47,11,class_11,0.9841772151898702,0.9718749999999969,0.9779874213831447,320
