model,category,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,training_seconds_mean,training_seconds_std,inference_ms_mean,inference_ms_std,params_m
CNN_LSTM,temporal,0.896875,0.0,0.8971346247762506,0.0,0.8990335012444746,0.0,0.896874999999997,0.0,1089.2984028551728,0.0,0.5642059986712411,0.0,11.500492
EfficientNet_B0,cnn,0.9283854166666666,0.0,0.9272465478929944,0.0,0.929227474773159,0.0,0.9283854166666636,0.0,4872.412934044376,0.0,0.9626389015465976,0.0,4.045096
GRU,temporal,0.8434895833333333,0.0,0.8423491665890817,0.0,0.8486258142463962,0.0,0.8434895833333306,0.0,347.1826783847064,0.0,0.0607554160524159,0.0,0.513292
LSTM,temporal,0.83359375,0.0,0.8331823641166535,0.0,0.8397329835438249,0.0,0.8335937499999974,0.0,388.1264936029911,0.0,0.0693171721650287,0.0,0.595724
LeNet_LSTM,temporal,0.9041666666666668,0.0,0.9047657306121504,0.0,0.9103413754169646,0.0,0.9041666666666638,0.0,327.1976210977882,0.0,0.1676600164500996,0.0,0.331708
LeNet,cnn,0.8375,0.0,0.8357194541745473,0.0,0.8435859725248783,0.0,0.8374999999999972,0.0,455.1997997891158,0.0,0.1005741592962294,0.0,0.073726
MobileNet_V2,cnn,0.9236979166666668,0.0,0.9230946630032816,0.0,0.9247628728698124,0.0,0.9236979166666636,0.0,1904.2376174461097,0.0,0.3651704697404057,0.0,2.26142
ResNet18,cnn,0.9307291666666668,0.0,0.930046913611429,0.0,0.9355367024421458,0.0,0.9307291666666636,0.0,999.567462425679,0.0,0.3057240333873778,0.0,11.42414
TCN,temporal,0.8393229166666667,0.0,0.839535540743498,0.0,0.8439120036096868,0.0,0.8393229166666639,0.0,913.6555902771652,0.0,0.2533050486817956,0.0,2.083724
Transformer,attention,0.7127604166666667,0.0,0.7065450507457571,0.0,0.7128839438766819,0.0,0.7127604166666645,0.0,957.9959158655256,0.0,0.1963476184755563,0.0,0.259052
