epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1,lr,is_best
1,1.3284484069971811,0.9419103941702772,0.8325,0.6958333333333333,0.8315067684074315,0.6964223049430708,0.0001,0
2,0.5462351552219618,0.7061309343400699,0.9203571428571428,0.7723214285714286,0.9202458753900804,0.7731182796420559,0.0001,0
3,0.30903864930783,0.787903956989924,0.9521428571428572,0.7880952380952381,0.9521428704973112,0.7893250701930578,0.0001,0
4,0.2085204305464313,0.7462976904386475,0.9741071428571428,0.8020833333333334,0.9741338138781936,0.8031838024834475,0.0001,0
5,0.1465423884774957,0.8550672219369344,0.9820238095238096,0.8047619047619048,0.9820198659976432,0.8040986830515456,5e-05,0
6,0.078243490244661,0.8319539247173441,0.9942857142857144,0.8202380952380952,0.9942855251996372,0.8205990619176021,5e-05,0
7,0.0486827619728587,0.9013417758780512,0.9967857142857144,0.8291666666666667,0.9967860869082276,0.829427436741533,5e-05,0
8,0.0386731714861733,0.9744424481200478,0.9977976190476192,0.83125,0.9977976812888224,0.831561902896901,2.5e-05,0
9,0.0233208128597055,1.0411264217275853,0.9986309523809525,0.8288690476190477,0.9986312429836138,0.8284226545771057,2.5e-05,0
10,0.0179217972641899,1.0172969924911786,0.999345238095238,0.8395833333333333,0.9993452592014131,0.8399408179839277,2.5e-05,0
11,0.014283156714269,1.2424975765371955,0.9975,0.8380952380952381,0.9974988944420892,0.8374030490650844,1.25e-05,0
12,0.0109188370122796,1.1637015025135076,0.999702380952381,0.8413690476190476,0.9997023596478036,0.8413562460697847,1.25e-05,0
13,0.0083929642893019,1.1661271565068754,0.9998214285714284,0.8485119047619047,0.9998214072896446,0.8484153919443046,1.25e-05,1
14,0.0073265202627295,1.1814769021949587,0.9998214285714284,0.84375,0.999821449806657,0.8441645415517823,6.25e-06,0
15,0.0061257075908638,1.267723231841506,0.9998809523809524,0.8395833333333333,0.9998809523728592,0.8399824607445204,6.25e-06,0
16,0.005862403512001,1.2048810236565275,0.9998809523809524,0.8455357142857143,0.9998809523804516,0.8455774864755102,6.25e-06,0
17,0.0057529921971616,1.2982515767593836,0.9998809523809524,0.8479166666666667,0.9998809523728592,0.8480896769399687,3.125e-06,0
18,0.004548935301247,1.2837013504281385,0.9998809523809524,0.8470238095238095,0.9998809523728592,0.8471812630934193,3.125e-06,0
