epoch,train_loss,val_loss,val_acc,val_f1,lr,epoch_time_s,cum_time_s
1.0,1.1195128367060707,0.8058556076183561,0.7178571428571429,0.7153344156266656,0.0003,33.14048702083528,33.14048702083528
2.0,0.37271424700816475,0.6688666255856376,0.7791666666666667,0.7761863885300365,0.0003,27.224438862875104,60.364925883710384
3.0,0.1895440916433221,0.71196631061778,0.7985119047619048,0.7963243174730814,0.0003,27.19428489357233,87.55921077728271
4.0,0.12033294048337709,0.6746803734662189,0.8211309523809524,0.8202159205611759,0.0003,25.474522195756435,113.03373297303915
5.0,0.0804694360991319,0.6731510362868514,0.8315476190476191,0.8306177100203705,0.00015,25.48296513967216,138.5166981127113
6.0,0.02985689056771142,0.6901737987243298,0.8464285714285714,0.8459061550390157,0.00015,25.742332255467772,164.25903036817908
7.0,0.014245840743893668,0.7412239674717144,0.8473214285714286,0.8467611821579788,0.00015,25.674871616065502,189.93390198424459
8.0,0.015257633661939985,0.7216410049857847,0.843452380952381,0.8429280664478872,7.5e-05,25.70068259909749,215.63458458334208
9.0,0.005545984009901682,0.7555171606472522,0.8488095238095238,0.8482734683461283,7.5e-05,25.615570481866598,241.25015506520867
10.0,0.0024919353141671136,0.824992226894184,0.8470238095238095,0.8448837551875524,7.5e-05,25.237393466755748,266.4875485319644
11.0,0.0021633828324931006,0.8341172802897961,0.8514880952380952,0.8516207032163177,3.75e-05,25.108832908794284,291.5963814407587
12.0,0.0010752470791339874,0.8332937641495716,0.8514880952380952,0.8509939613647001,3.75e-05,25.54561479203403,317.14199623279274
13.0,0.0008055954462005978,0.8734645910421499,0.8559523809523809,0.8556876697236585,3.75e-05,25.905309719964862,343.0473059527576
14.0,0.000631711163691112,0.8958947211859551,0.8482142857142857,0.8472767668797611,1.875e-05,25.534688748419285,368.5819947011769
15.0,0.0004484649570215316,0.9509874843228404,0.8535714285714285,0.8531228115186767,1.875e-05,25.25129582732916,393.83329052850604
16.0,0.0003589230350085667,0.9606019182941855,0.8526785714285714,0.852340008317923,1.875e-05,25.287384131923318,419.12067466042936
17.0,0.0002823667370137714,0.9958065513066707,0.8547619047619047,0.8543616769713517,9.375e-06,24.92026239261031,444.04093705303967
18.0,0.00023394511569113958,1.0071588776059235,0.8544642857142857,0.8540253555741154,9.375e-06,25.250712709501386,469.29164976254106
19.0,0.00018699464343843007,1.0526466422441283,0.8550595238095238,0.8546827550830738,9.375e-06,24.765167692676187,494.05681745521724
20.0,0.0001482259872413817,1.076709783954244,0.8547619047619047,0.8544166916454609,4.6875e-06,25.587988702580333,519.6448061577976
21.0,0.00012673627762567428,1.0947104297017858,0.8547619047619047,0.8544403523169031,4.6875e-06,25.349412260577083,544.9942184183747
22.0,0.00011953819365728469,1.1052598462064451,0.8538690476190476,0.8534956060649458,4.6875e-06,24.99835981056094,569.9925782289356
23.0,0.00010654131571451823,1.1277032741392585,0.8550595238095238,0.8547150338010606,2.34375e-06,25.014096431434155,595.0066746603698
24.0,9.48254196416764e-05,1.1324152217235728,0.85625,0.8558420213740994,2.34375e-06,24.838158840313554,619.8448335006833
25.0,8.822680938811529e-05,1.143568051125706,0.8550595238095238,0.8546911692146962,2.34375e-06,25.60523571074009,645.4500692114234
