model,display_name,seed,inference_ms,test_accuracy_pct
LSTM,LSTM baseline,51,0.0199337722733616,84.08854166666667
GRU,GRU baseline,51,0.0190761493286117,84.21875
CNN_LSTM,CNN-LSTM baseline,51,0.5790978990262374,91.875
LeNet_LSTM,LeNet-LSTM baseline,51,0.1770824601408094,90.9375
TCN,TCN baseline,51,0.1124164613429457,84.08854166666667
Transformer,Transformer baseline,51,0.034700974356383,74.03645833333333
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,42,0.4590306780301034,92.65625
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,43,0.4585582762956619,93.22916666666666
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,44,0.4695742391049862,92.44791666666666
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,45,0.4756688605993986,92.91666666666669
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,46,0.466593389865011,93.22916666666666
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,47,0.4579321946948766,95.98958333333331
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,48,0.5014428053982556,92.00520833333331
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,49,0.4607441718690097,92.734375
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,50,0.4681327030993998,94.6875
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,51,0.4643956548534333,95.05208333333334
