model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,d_model,nhead,num_layers,dim_feedforward,dropout,pooling,norm_first,host,gpu_local_id,cuda_visible_devices,pid
Transformer,1,1,43,0.0003,16,0.0003,10,10,7,0.6985443692346015,0.6985443692346015,0.7008928571428571,1.3979075068519229,1.461311102055368,0.45012625387736727,1.3979075068519229,0.06340359520344507,0.6926010808209183,0.004114749490443782,0.6885574041048282,258.23664305359125,173644,,,0.05,ok,,,64,2,2,256,0.3,mean,True,ubuntu,0,0,432035
Transformer,1,2,44,0.0003,32,0.0001,10,10,8,0.7256133080942245,0.7256133080942245,0.7270833333333333,1.2277477647577013,1.2224171212741306,0.38137793132237024,1.2277477647577013,-0.005330643483570707,0.7231835195582079,0.00261080049436401,0.7245793715006462,164.61163855157793,344460,,,0.05,ok,,,128,2,2,128,0.3,mean,True,ubuntu,1,1,432036
Transformer,1,3,45,0.0001,32,0.001,10,10,10,0.5184818901074043,0.5184818901074043,0.5261904761904762,1.5901143312454225,1.5901143312454225,1.0028267438071115,1.5901143312454225,0.0,0.5078590820272458,0.010094304620416477,0.5184818901074043,129.13707723654807,123660,,,0.05,ok,,,64,2,1,256,0.3,mean,True,ubuntu,2,2,432041
Transformer,1,4,46,0.0003,16,0.0003,10,10,10,0.7499170467811475,0.7499170467811475,0.7517857142857143,1.0363902864002046,1.0363902864002046,0.3144434566441036,1.0363902864002046,0.0,0.7470120316560733,0.0018564287823213254,0.7499170467811475,176.27120846137404,244876,,,0.05,ok,,,128,4,1,128,0.1,mean,True,ubuntu,3,3,432042
Transformer,1,5,47,0.0001,32,0.0003,10,10,10,0.6069040872923893,0.6069040872923893,0.6074404761904761,1.3175652044160024,1.3175652044160024,0.7128091439746675,1.3175652044160024,0.0,0.5941625943291429,0.011619501143416543,0.6069040872923893,157.9317303970456,140620,,,0.05,ok,,,64,2,2,128,0.1,mean,True,ubuntu,4,4,432043
Transformer,1,6,48,0.0003,32,0.0001,10,10,10,0.6993547423163595,0.6993547423163595,0.705654761904762,1.3207784828685578,1.3207784828685578,0.3701239321913038,1.3207784828685578,0.0,0.690756202808038,0.005398525212238601,0.6993547423163595,135.85277265496552,277772,,,0.05,ok,,,128,2,1,256,0.3,mean,True,ubuntu,5,5,432045
Transformer,1,7,49,0.0001,16,0.0001,10,10,10,0.6405350040461087,0.6405350040461087,0.6464285714285715,1.4582671894913628,1.4582671894913628,0.5433802547625133,1.4582671894913628,0.0,0.633889516346194,0.006480320722384125,0.6405350040461087,193.16494833305478,277772,,,0.05,ok,,,128,4,1,256,0.3,mean,True,ubuntu,2,2,436923
Transformer,1,8,50,0.0001,16,0.0001,10,10,10,0.6511913851022356,0.6511913851022356,0.6523809523809524,1.3247799257437387,1.3247799257437387,0.45443997238363537,1.3247799257437387,0.0,0.6455175322420916,0.006374749865137276,0.6511913851022356,199.20291271060705,244876,,,0.05,ok,,,128,2,1,128,0.1,mean,True,ubuntu,5,5,437152
Transformer,1,9,51,0.0003,16,0.0001,10,10,7,0.7925080738679018,0.7925080738679018,0.7928571428571428,0.9512514185337794,0.9324457507757914,0.31991056385494415,0.9512514185337794,-0.018805667757987976,0.7876985726122949,0.003741900549037704,0.7898612394877295,277.51099073141813,410252,,,0.05,ok,,,128,2,2,256,0.1,mean,True,ubuntu,4,4,438022
Transformer,1,10,52,0.0002,16,0.001,10,10,8,0.6897381994350432,0.6897381994350432,0.6913690476190476,1.3618611121461506,1.4008756562357858,0.5058196385133834,1.3618611121461506,0.03901454408963523,0.685204277913522,0.004388400437701331,0.6888863100114552,283.96248507127166,173644,,,0.05,ok,,,64,4,2,256,0.3,mean,True,ubuntu,1,1,438436
Transformer,1,11,53,0.0002,32,0.001,10,10,10,0.6139957007524818,0.6139957007524818,0.6178571428571429,1.4468360600017367,1.4468360600017367,0.6337695766630627,1.4468360600017367,0.0,0.6031454691804997,0.00840442988663274,0.6139957007524818,125.11170354858041,123660,,,0.05,ok,,,64,4,1,256,0.3,mean,True,ubuntu,3,3,439322
Transformer,1,12,54,0.0002,16,0.0003,10,10,10,0.669289292018539,0.669289292018539,0.6702380952380952,1.2851888929094588,1.2851888929094588,0.41025882984910694,1.2851888929094588,0.0,0.6629728279768643,0.005602690113456052,0.669289292018539,215.38438300602138,123660,,,0.05,ok,,,64,4,1,256,0.1,mean,True,ubuntu,0,0,441229
