model,seed,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,test_loss,test_acc,test_f1,lr,epoch_time_sec
CNN_LSTM,44,1,0.9112283003897894,0.6604761904761904,0.8238591944519316,0.5639298435322763,0.780952380952381,0.7704068369778279,0.5634039865903712,0.7598958333333333,0.7452853864563854,0.0003,99.88388916477561
CNN_LSTM,44,2,0.4297273649772008,0.835,0.89345703468164,0.3857174596643918,0.8806547619047619,0.8798374256847467,0.38552364005275497,0.84765625,0.8464645455321183,0.0003,97.68371972814202
CNN_LSTM,44,3,0.2880159862055665,0.8954761904761904,0.9262219870503525,0.34024944888743835,0.9020833333333333,0.9020510349158491,0.322930848410518,0.8809895833333333,0.8800456242231456,0.0003,99.74967828392982
CNN_LSTM,44,4,0.22838551702243942,0.9169047619047619,0.9157685657662339,0.39131678061593056,0.8869047619047619,0.8874895658844751,0.3481527459148007,0.87890625,0.8794637383386389,0.0003,100.73578751087189
CNN_LSTM,44,5,0.18061112259115492,0.9338690476190477,0.9615892088303708,0.3658982465691571,0.919345238095238,0.9203334101656595,0.27886463408334144,0.9072916666666667,0.9068600223027992,0.0003,100.0425737760961
CNN_LSTM,44,6,0.15368409602414995,0.9455357142857143,0.959453581083506,0.4484458119321581,0.9005952380952381,0.9027708737286696,0.34000931870687057,0.8903645833333333,0.8909667844422854,0.00015,99.32610867358744
CNN_LSTM,44,7,0.09935797295400074,0.9661309523809524,0.9765341028479125,0.4096138646071094,0.9130952380952381,0.9141058162083503,0.3044022821738054,0.9083333333333333,0.9080997421210789,0.00015,98.85966972820461
CNN_LSTM,44,8,0.07753022932580539,0.9741666666666666,0.987377226966016,0.38739029366332123,0.9235119047619048,0.9245002819338066,0.30217895263829936,0.9190104166666667,0.9187532637983624,0.00015,97.13944483734667
CNN_LSTM,44,9,0.05941099327234995,0.9816071428571429,0.9869778793044836,0.39615677034846936,0.9136904761904762,0.9145599040286841,0.3073272032849218,0.9065104166666667,0.905841836109848,7.5e-05,99.57407563179731
CNN_LSTM,44,10,0.03872355935829026,0.9876190476190476,0.9925574111750004,0.38685501475225637,0.9303571428571429,0.9309122999562275,0.32085121882060624,0.91875,0.9177236914197234,7.5e-05,98.91482197493315
CNN_LSTM,44,11,0.029058896672158014,0.99125,0.9946422699636325,0.5594739831991904,0.9110119047619047,0.9127892540565387,0.37574897429209764,0.9119791666666667,0.9119230253656295,7.5e-05,95.83374997973442
CNN_LSTM,44,12,0.024672128522679918,0.9927380952380952,0.9972029894071568,0.45277952683360406,0.9205357142857142,0.9216817669841534,0.36332053687671456,0.9169270833333333,0.917849691509566,3.75e-05,99.1896701361984
CNN_LSTM,44,13,0.01625396007583255,0.9954166666666666,0.998749657880385,0.47206495052691394,0.9252976190476191,0.9262771078549387,0.36658394356264806,0.9169270833333333,0.9167911654545172,3.75e-05,99.5720219668001
CNN_LSTM,44,14,0.01138195935459364,0.996904761904762,0.9991069933787946,0.45134291718387604,0.9345238095238095,0.9353798396651368,0.372332669753583,0.9216145833333333,0.920994704037203,3.75e-05,96.83118795230985
CNN_LSTM,44,15,0.009809061764251618,0.9975,0.998690389865092,0.48142157121792045,0.9285714285714286,0.9291830879657854,0.38501598854697744,0.9208333333333333,0.9204215401811217,1.875e-05,96.25560026243329
CNN_LSTM,44,16,0.007289603345450901,0.9980952380952381,0.9994047405014844,0.5126742495800672,0.9270833333333334,0.9282713838207663,0.39000516029894733,0.92421875,0.9236962442638105,1.875e-05,99.06136570498347
CNN_LSTM,44,17,0.005548310663018908,0.9989285714285714,0.9996428571043948,0.48173184646615363,0.9318452380952381,0.9326708774318383,0.39317486247984257,0.9260416666666667,0.9255699172714326,1.875e-05,99.08222214505076
CNN_LSTM,44,18,0.00458089516985984,0.9991071428571429,0.9997619047386271,0.5061303985570421,0.9336309523809524,0.9343628642702725,0.4061685701384903,0.9276041666666667,0.9267825595233846,9.375e-06,100.66197834350169
CNN_LSTM,44,19,0.004163464109102885,0.9991666666666666,0.9997023596402116,0.5269978803107929,0.9297619047619048,0.9307213759375772,0.4211600695775085,0.92265625,0.9222375468623646,9.375e-06,99.87008764967322
