variant_name,seed,class_3_f1,class_6_f1,test_macro_f1
baseline,43,0.7283950617278928,0.7049689440988767,0.918365439263423
motioninput,43,0.7106918238988688,0.7316293929707437,0.925024506078715
motioninput_ls005_wd3e4,43,0.7519260400611308,0.7499999999994978,0.9318793788906506
reg_ls005_wd3e4,43,0.7266982622427837,0.7195121951214493,0.9214683945600012
