variant_name,seed,subject_26_accuracy,subject_26_macro_f1,test_macro_f1
baseline,43,0.7875,0.758955259723512,0.918365439263423
motioninput,43,0.80625,0.7606616130281242,0.925024506078715
motioninput_ls005_wd3e4,43,0.8208333333333333,0.7824815587657334,0.9318793788906506
reg_ls005_wd3e4,43,0.78125,0.7537130498926178,0.9214683945600012
