model,seed,class_id,class_name,precision,recall,f1,support
GRU,43,0,class_0,0.8333333333333307,0.8593749999999972,0.8461538461533434,320
GRU,43,1,class_1,0.8825503355704668,0.8218749999999974,0.8511326860836402,320
GRU,43,2,class_2,0.9074626865671614,0.949999999999997,0.9282442748086576,320
GRU,43,3,class_3,0.6842105263157873,0.6906249999999978,0.6874027993774137,320
GRU,43,4,class_4,0.8895899053627732,0.8812499999999972,0.8854003139712397,320
GRU,43,5,class_5,0.7780612244897939,0.953124999999997,0.8567415730332104,320
GRU,43,6,class_6,0.6417445482866023,0.6437499999999979,0.642745709827891,320
GRU,43,7,class_7,0.9323308270676656,0.7749999999999975,0.8464163822520608,320
GRU,43,8,class_8,0.8529411764705856,0.9062499999999971,0.8787878787873765,320
GRU,43,9,class_9,0.9137380191693261,0.8937499999999972,0.9036334913107136,320
GRU,43,10,class_10,0.915624999999997,0.915624999999997,0.915624999999497,320
GRU,43,11,class_11,0.9122807017543827,0.8124999999999974,0.8595041322309037,320
