epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1,lr,is_best
1,0.926812433245636,0.8086254268141818,0.903154761904762,0.7455357142857143,0.9028940502891144,0.7458570238918547,0.0001,0
2,0.3061107206060773,0.7742563718069737,0.954345238095238,0.7824404761904762,0.9540877970555864,0.7804094416139699,0.0001,0
3,0.168208052501792,0.8665398889770921,0.9733333333333334,0.7973214285714286,0.973413056877079,0.7980621743963091,0.0001,0
4,0.1108148499187969,0.7832954376404972,0.987440476190476,0.8077380952380953,0.9874411876514304,0.8075556416108212,0.0001,0
5,0.0712013648876122,0.9399193384298158,0.9875595238095238,0.7982142857142858,0.9875570198751868,0.7994456880264086,5e-05,0
6,0.0243661442186151,0.9225985402608976,0.9989285714285714,0.8303571428571429,0.998928464345905,0.8305501054896731,5e-05,0
7,0.0106224003505139,1.000893287566794,0.9991071428571427,0.825297619047619,0.9991072274349636,0.8251855344765016,5e-05,0
8,0.0128491988139493,0.9958394537341866,0.9988690476190476,0.830654761904762,0.9988688335357754,0.8304443137092977,2.5e-05,0
9,0.004577867261001,1.0100635896757144,0.9998809523809524,0.843452380952381,0.9998809523652672,0.8435770536627962,2.5e-05,0
10,0.0016902467111746,1.2078666819054489,0.9998809523809524,0.8336309523809524,0.999880952319713,0.833081577792253,2.5e-05,0
11,0.0014828000820818,1.2191281940647871,0.9998809523809524,0.837202380952381,0.9998809523804516,0.8373445435500879,1.25e-05,0
12,0.0011842669404688,1.2175770593963375,1.0,0.8458333333333333,0.9999999999994992,0.845810785565296,1.25e-05,0
13,0.00044656102856,1.2547078816129602,1.0,0.8458333333333333,0.9999999999994992,0.8454234929913329,1.25e-05,0
14,0.0006656002075899,1.2332322651768322,1.0,0.8467261904761905,0.9999999999994992,0.8466265181801966,6.25e-06,0
15,0.0002505615921247,1.3319912577337245,1.0,0.8446428571428571,0.9999999999994992,0.8442174534213517,6.25e-06,0
16,0.0003775228985718,1.3097030441475832,1.0,0.8479166666666667,0.9999999999994992,0.847648637714031,6.25e-06,1
17,0.0002005285024642,1.345012672248749,1.0,0.844047619047619,0.9999999999994992,0.8434718651485732,3.125e-06,0
18,0.0001115023380234,1.366832269234337,1.0,0.8467261904761905,0.9999999999994992,0.8462271963041479,3.125e-06,0
