epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_f1,val_macro_f1,lr,epoch_time_s,cum_time_s,is_best
1.0,1.6865470855576652,0.7579166666666667,0.7564541536407932,1.2747676610946654,0.65625,0.6564099542155478,0.6564099542155478,5e-05,417.87660916149616,417.87660916149616,1.0
2.0,0.9547983278547014,0.8983333333333333,0.8975584909052222,1.031114504734675,0.7309523809523809,0.7316119141813505,0.7316119141813505,5e-05,400.6809088457376,818.5575180072337,1.0
3.0,0.6921176425048283,0.9483333333333334,0.9483704490098109,0.9935362767605554,0.7622023809523809,0.7627519383739977,0.7627519383739977,5e-05,401.9617693647742,1220.519287372008,1.0
4.0,0.5696777149041494,0.9725595238095238,0.9725677325117227,0.9096760383674076,0.7928571428571428,0.7936386323860064,0.7936386323860064,5e-05,401.4340954441577,1621.9533828161657,1.0
5.0,0.4935920790831248,0.9832142857142857,0.9832109580763465,0.8905771604606083,0.8086309523809524,0.8089181375988849,0.8089181375988849,5e-05,400.25258981995285,2022.2059726361185,1.0
6.0,0.4454973997388567,0.990297619047619,0.9902976654363349,0.9083099938574292,0.8092261904761905,0.8095970119542789,0.8095970119542789,5e-05,400.97736264951527,2423.183335285634,1.0
7.0,0.4162569460982368,0.9947619047619047,0.9947608134697751,0.8645518277372632,0.8220238095238095,0.8218608962298816,0.8218608962298816,5e-05,401.6070581674576,2824.7903934530914,1.0
8.0,0.39486480094137644,0.9956547619047619,0.9956527461466758,0.8702230853693825,0.8136904761904762,0.814182966460244,0.814182966460244,5e-05,409.5829539950937,3234.373347448185,0.0
9.0,0.3765513895806812,0.9950595238095238,0.9950574392854162,0.8727891345818838,0.805952380952381,0.8068937181991065,0.8068937181991065,5e-05,403.13289699703455,3637.5062444452196,0.0
10.0,0.36661318245388214,0.9970833333333333,0.9970826949283756,0.857291989667075,0.8244047619047619,0.8243942004569501,0.8243942004569501,5e-05,400.6330811176449,4038.1393255628645,1.0
