epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_f1,val_macro_f1,lr,epoch_time_s,cum_time_s,is_best
1.0,0.832417190777404,0.9104761904761904,0.9097534112403697,0.733414686363401,0.7767857142857143,0.7760266373023837,0.7760266373023837,0.0001,403.0023693013936,403.0023693013936,1.0
2.0,0.2677654930381548,0.9597619047619048,0.9598885737599065,0.7793953386574902,0.7764880952380953,0.7771083311185071,0.7771083311185071,0.0001,390.7024128511548,793.7047821525484,1.0
3.0,0.14126253392724764,0.9789285714285715,0.9789664087000821,0.9003697390307068,0.7845238095238095,0.7839445302025326,0.7839445302025326,0.0001,392.5539215076715,1186.25870366022,1.0
4.0,0.0872702147208509,0.9807738095238095,0.9807586842815716,0.8939178074058375,0.8089285714285714,0.8094360624867676,0.8094360624867676,5e-05,390.48277657851577,1576.7414802387357,1.0
5.0,0.02955166703888348,0.9970238095238095,0.9970243251631548,0.943969968442588,0.8229166666666666,0.8224656501679206,0.8224656501679206,5e-05,390.41726286895573,1967.1587431076914,1.0
6.0,0.014691575857855025,0.9967261904761905,0.9967268498558958,1.066415615916574,0.8160714285714286,0.8167933051398917,0.8167933051398917,5e-05,393.58733479492366,2360.746077902615,0.0
7.0,0.01355361392100652,0.9958333333333333,0.9958354767183,1.3378373766932041,0.8044642857142857,0.8032321807584974,0.8032321807584974,2.5e-05,394.647780617699,2755.393858520314,0.0
8.0,0.00709643902523177,1.0,0.9999999999994992,1.0962676402638052,0.8333333333333334,0.8332825845239306,0.8332825845239306,2.5e-05,393.46660569123924,3148.8604642115533,1.0
9.0,0.0008358986320949737,0.9999404761904762,0.999940476182383,1.159813603849853,0.8389880952380953,0.8387754849426906,0.8387754849426906,2.5e-05,393.6973802745342,3542.5578444860876,1.0
10.0,0.0007364665539491745,0.9999404761904762,0.999940476182383,1.2575338399764644,0.837202380952381,0.8370544064333182,0.8370544064333182,1.25e-05,396.91096546314657,3939.468809949234,0.0
11.0,0.0004315412399314699,1.0,0.9999999999994992,1.245398976911996,0.8380952380952381,0.8379007976558386,0.8379007976558386,1.25e-05,393.6386057138443,4333.107415663078,0.0
12.0,0.0002337098405474708,1.0,0.9999999999994992,1.2598527719410755,0.8354166666666667,0.8353704242666246,0.8353704242666246,1.25e-05,396.1342664323747,4729.241682095453,0.0
13.0,0.0001085360844930013,1.0,0.9999999999994992,1.314650627433707,0.8380952380952381,0.8380098692227894,0.8380098692227894,6.25e-06,396.96020238287747,5126.201884478331,0.0
14.0,9.366795420646667e-05,1.0,0.9999999999994992,1.3046969582655028,0.8419642857142857,0.8417585742387282,0.8417585742387282,6.25e-06,393.5994976386428,5519.801382116973,1.0
15.0,7.088162359737215e-05,1.0,0.9999999999994992,1.3679348882394349,0.8404761904761905,0.8402017772801952,0.8402017772801952,6.25e-06,397.2594200260937,5917.060802143067,0.0
16.0,7.329605874561128e-05,1.0,0.9999999999994992,1.378726838164942,0.8425595238095238,0.8424933893678342,0.8424933893678342,3.125e-06,395.98577721603215,6313.046579359099,1.0
17.0,3.7294810726529075e-05,1.0,0.9999999999994992,1.4103821634531137,0.8431547619047619,0.8429661663494415,0.8429661663494415,3.125e-06,394.163715230301,6707.2102945894,1.0
18.0,2.691009214946202e-05,1.0,0.9999999999994992,1.4479745056397708,0.843452380952381,0.8432799282285749,0.8432799282285749,3.125e-06,393.0714523885399,7100.28174697794,1.0
19.0,3.0675863935833883e-05,1.0,0.9999999999994992,1.4758857115008401,0.8395833333333333,0.839309657409153,0.839309657409153,1.5625e-06,394.92389982379973,7495.20564680174,0.0
20.0,2.5566461540403822e-05,1.0,0.9999999999994992,1.485792840209408,0.8422619047619048,0.8419818774639801,0.8419818774639801,1.5625e-06,394.13660569675267,7889.342252498493,0.0
21.0,1.8364652281715758e-05,1.0,0.9999999999994992,1.5226074795756723,0.8395833333333333,0.8393082951472929,0.8393082951472929,1.5625e-06,393.4843626078218,8282.826615106314,0.0
22.0,2.0916149729774113e-05,1.0,0.9999999999994992,1.5436419047148187,0.8431547619047619,0.8429135555757258,0.8429135555757258,7.8125e-07,393.45846462249756,8676.285079728812,0.0
23.0,4.320415002959115e-05,1.0,0.9999999999994992,1.5392660159888314,0.8416666666666667,0.841422954772601,0.841422954772601,7.8125e-07,394.9296974539757,9071.214777182788,0.0
24.0,1.6569353285289945e-05,1.0,0.9999999999994992,1.544411091738025,0.8428571428571429,0.8425522926805655,0.8425522926805655,7.8125e-07,392.9830311052501,9464.197808288038,0.0
25.0,4.209448184285845e-05,1.0,0.9999999999994992,1.566434468677998,0.8410714285714286,0.8408700257374156,0.8408700257374156,3.90625e-07,396.7902484796941,9860.988056767732,0.0
