model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_acc,best_val_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,status,status_reason,error,feature_dim,encoder_hidden_dim,hidden_size,num_layers,dropout,use_last_only,bidirectional,host,gpu_local_id,cuda_visible_devices,pid
LeNet_LSTM,1,1,43,0.0003,16,0.0001,10,10,10,0.8489939577930707,0.8491071428571428,0.48420574880327055,0.8196765410509428,0.028189487607091872,0.8489939577930707,168.94113660231233,404860,,,ok,,,128,160,96,1,0.5,True,False,ubuntu,0,0,2978929
LeNet_LSTM,1,2,44,0.0003,16,0.0001,10,10,9,0.8860755894650296,0.8854166666666666,0.3550048382476061,0.8520580784395311,0.030394324414246235,0.8810521948463373,176.108722390607,642076,,,ok,,,128,192,128,2,0.2,True,False,ubuntu,1,1,2978930
LeNet_LSTM,1,3,45,0.0006,16,0.0001,10,10,10,0.9070983697061057,0.9068452380952381,0.3479016176291874,0.8920636165623195,0.011515342437009439,0.9070983697061057,169.82758054323494,329020,,,ok,,,96,128,96,1,0.2,True,False,ubuntu,2,2,2978931
LeNet_LSTM,1,4,46,0.001,8,0.0001,10,10,10,0.8840230576824677,0.8836309523809524,0.47751014598068736,0.8672246818234249,0.011515163492424445,0.8840230576824677,212.46367248892784,482748,,,ok,,,160,192,96,1,0.3,False,False,ubuntu,3,3,2978932
LeNet_LSTM,1,5,47,0.0003,16,1e-05,10,10,8,0.8949831806809477,0.8955357142857143,0.31966451554104597,0.8806136870234965,0.010130028412928978,0.8849563056309678,205.27933488413692,891644,,,ok,,,96,192,192,2,0.5,False,False,ubuntu,4,4,2978933
LeNet_LSTM,1,6,48,0.0006,8,1e-05,10,10,9,0.8637937414199245,0.8636904761904762,0.48888552070074226,0.8502218322580353,0.013104744927448253,0.857415312736091,209.1301353573799,329020,,,ok,,,96,128,96,1,0.3,True,False,ubuntu,5,5,2978934
LeNet_LSTM,1,7,49,0.0006,16,1e-05,10,10,7,0.9019135116223542,0.9023809523809524,0.33658933353421855,0.8956997743398082,0.006480358917656825,0.9011287005583027,174.51774441078305,557244,,,ok,,,160,192,96,2,0.3,False,False,ubuntu,6,6,2978998
LeNet_LSTM,1,8,50,0.001,16,1e-05,10,10,10,0.8596903726174062,0.8613095238095239,0.4515891415022668,0.8282188922683437,0.020741634356504616,0.8596903726174062,223.03737883269787,832252,,,ok,,,160,128,192,2,0.2,True,False,ubuntu,7,7,2979125
LeNet_LSTM,1,9,51,0.0003,8,1e-05,10,10,8,0.9075872063192763,0.9071428571428571,0.30222127686269923,0.8934701031049549,0.009209506527527668,0.8847666132167121,342.63023517653346,803548,,,ok,,,128,128,192,2,0.3,False,False,ubuntu,8,8,2979189
LeNet_LSTM,1,10,52,0.001,8,1e-05,10,10,10,0.8418004397313696,0.8422619047619048,0.483489062053351,0.7935921727662975,0.030335114968601435,0.8418004397313696,215.61570269986987,411644,,,ok,,,160,128,128,1,0.3,True,False,ubuntu,9,9,2979316
LeNet_LSTM,1,11,53,0.0003,16,1e-05,10,10,9,0.8788473149928562,0.8800595238095238,0.37934402680645385,0.8605037123403318,0.016659918984396407,0.8773845608839325,195.2205300964415,496796,,,ok,,,160,160,96,2,0.3,True,False,ubuntu,0,0,2989614
LeNet_LSTM,1,12,54,0.0006,16,1e-05,10,10,10,0.910653650353835,0.9116071428571428,0.3825401146363653,0.9018317867786584,0.005652297538346908,0.910653650353835,254.71987146884203,953148,,,ok,,,160,192,192,2,0.3,False,False,ubuntu,2,2,2989615
