epoch,train_loss,val_loss,val_acc,val_f1,lr,epoch_time_s,cum_time_s
1.0,1.1474142241477967,0.7545518252514912,0.7842261904761905,0.7807398282560749,0.0003,42.361803041771054,42.361803041771054
2.0,0.5003750501502128,0.5479165336110912,0.8208333333333333,0.8142511777980804,0.0003,36.258919002488256,78.62072204425931
3.0,0.35888196298054287,0.33057341931603984,0.8770833333333333,0.8730342968573299,0.0003,36.62635105289519,115.2470730971545
4.0,0.2811635646933601,0.5956283500650897,0.8324404761904762,0.8285611718351754,0.0003,36.320441231131554,151.56751432828605
5.0,0.23083809836989358,0.3422813089471674,0.8869047619047619,0.8860952998578165,0.0003,35.98313410393894,187.550648432225
6.0,0.18440097003465608,0.40957684325698035,0.8729166666666667,0.8726763780330603,0.00015,46.10894235037267,233.65959078259766
7.0,0.10026186662060874,0.3459225466841807,0.8943452380952381,0.8946098147587982,0.00015,65.01865074038506,298.6782415229827
8.0,0.07586801052093506,0.37560395979214395,0.8949404761904762,0.8946894798731656,0.00015,66.24419049918652,364.92243202216923
9.0,0.06636195986753418,0.32876427495519445,0.9026785714285714,0.9023155549927359,0.00015,70.9118335749954,435.83426559716463
10.0,0.06322580053692772,0.340187358908155,0.9130952380952381,0.9131113124545388,0.00015,67.71836355514824,503.5526291523129
11.0,0.0584040278834956,0.33546858560315784,0.9142857142857143,0.9141218547817885,0.00015,67.04196239821613,570.594591550529
12.0,0.0472117133580503,0.4303057528595846,0.9023809523809524,0.902613020906208,7.5e-05,55.60132950916886,626.1959210596979
13.0,0.02644385948777199,0.41868858049394386,0.9119047619047619,0.9116737035793675,7.5e-05,62.54559797421098,688.7415190339088
14.0,0.01800506869242305,0.4367709616311393,0.9157738095238095,0.9154394436157296,7.5e-05,62.08065941184759,750.8221784457564
15.0,0.01673986546340443,0.4563427493385483,0.9110119047619047,0.9105044274665343,3.75e-05,67.68549913726747,818.5076775830239
16.0,0.009020224880604517,0.434863530122374,0.9151785714285714,0.9147285781939086,3.75e-05,66.27749581634998,884.7851733993739
17.0,0.008392923268533888,0.44531725707848807,0.9098214285714286,0.9097706181891424,3.75e-05,68.04776338487864,952.8329367842525
18.0,0.009932831561281568,0.46760685065479873,0.905952380952381,0.905355039125496,1.875e-05,68.43760744854808,1021.2705442328006
19.0,0.007248293260733287,0.47143163546208294,0.9071428571428571,0.9068262595828922,1.875e-05,70.99166536703706,1092.2622095998377
20.0,0.00486709333601452,0.43623206417480453,0.9154761904761904,0.9151117637027936,1.875e-05,65.16745035350323,1157.429659953341
21.0,0.005611814154045922,0.46694253522669205,0.9142857142857143,0.91410040479527,9.375e-06,66.24947402253747,1223.6791339758784
22.0,0.004373513531117213,0.4688559659223561,0.9139880952380952,0.9136782252161422,9.375e-06,68.69972693547606,1292.3788609113544
23.0,0.004107293742043631,0.4763294925990565,0.912797619047619,0.9124835354349488,9.375e-06,67.20124285295606,1359.5801037643105
24.0,0.003733632607119424,0.4597450679175013,0.9151785714285714,0.9151220998823376,4.6875e-06,68.89707083441317,1428.4771745987236
25.0,0.00478279403987385,0.46335350257153163,0.9139880952380952,0.9137945637567064,4.6875e-06,69.08403731137514,1497.5612119100988
