subject_id,original_accuracy_mean,original_accuracy_std,improved_accuracy_mean,improved_accuracy_std,original_macro_f1_mean,original_macro_f1_std,improved_macro_f1_mean,improved_macro_f1_std
1,0.8652777777777777,0.003182344232608211,0.8854166666666666,0.007511565157216664,0.8605198973494191,0.0013054720909766936,0.8812267502214158,0.008348347810309912
2,0.8989583333333333,0.010311973892303782,0.91875,0.011785113019775828,0.8965123597662288,0.0074921398101254625,0.9093961632738208,0.018879346747398277
3,0.9364583333333334,0.004419417382415906,0.9572916666666667,0.004419417382415906,0.9363145720038579,0.004782208806072731,0.9565739192977853,0.004063431755918255
4,0.9145833333333333,0.017052818274734257,0.9534722222222222,0.00433680416555449,0.9138775714269712,0.016956022898625175,0.9530857813767973,0.004584871586465805
5,0.8777777777777778,0.030924227886406,0.9111111111111111,0.024679660616551174,0.8757966136804706,0.03263938399975734,0.9084030068455581,0.025750225199981026
6,0.9291666666666667,,0.9479166666666666,,0.9163746097956623,,0.9477615702339156,
7,0.9208333333333333,,0.9,,0.9170421243416215,,0.8932228072752612,
8,0.90625,0.008838834764831813,0.9166666666666666,0.0,0.9043037284736365,0.008050376103978534,0.9102846016861924,0.0011533289326002521
9,0.91875,,0.9395833333333333,,0.9139954325252253,,0.9339173062715993,
10,0.9197916666666667,0.027989643421967487,0.9572916666666667,0.01031197389230386,0.9159117543459345,0.032748198496593606,0.9567435769250751,0.01099620223534065
11,0.9229166666666667,,0.9625,,0.9212602497308078,,0.9611107855394071,
12,0.9270833333333334,,0.9979166666666667,,0.9159800212113648,,0.9979163410949626,
14,0.8885416666666667,0.016204530402191733,0.95,0.0029462782549439376,0.8841250597174817,0.015326483269646607,0.9496469491561237,0.0033502380633535604
15,0.896875,0.019150808657135674,0.9197916666666667,0.007365695637359922,0.8948709338122429,0.02137221208841742,0.9153987390008177,0.007738834378570753
16,0.9427083333333333,0.007365695637359844,0.9708333333333333,0.0,0.9389765627103093,0.010698350507522087,0.9704658873398635,0.0005196471074046082
17,0.9375,,0.9541666666666667,,0.9298184400798628,,0.9504169483885508,
18,0.9395833333333333,,0.9645833333333333,,0.9392691587787035,,0.9646194459511367,
20,0.9625,0.005511981898051211,0.9625,0.013661330258962504,0.9624501462083223,0.005426745436930738,0.9625355037735269,0.01380693256255006
21,0.9368055555555556,0.010276839296492146,0.9430555555555555,0.013871516913498687,0.9321273297640635,0.017283955532384085,0.9369020705724571,0.0197245495107232
22,0.9510416666666667,0.007365695637359922,0.946875,0.02209708691207961,0.95073458173457,0.007395541895734855,0.9461070377345153,0.021694107441883513
23,0.925,0.005892556509887954,0.9520833333333334,0.029462782549439452,0.924754958744074,0.006097880568971132,0.9520808442389457,0.029104054973906543
24,0.91875,,0.9604166666666667,,0.9116088869731055,,0.959553169739464,
25,0.9395833333333333,0.0029462782549439376,0.9635416666666666,0.016204530402191733,0.9391266943160608,0.002732342116250601,0.9628374684887706,0.01681003499655902
26,0.7673611111111112,0.0012028130608117162,0.8243055555555556,0.007887372702500416,0.7433746332997524,0.00655683172119192,0.7903057890051636,0.008953929622675562
28,0.91875,0.005892556509887954,0.9395833333333333,0.0,0.9137978434447978,0.00978316218927165,0.9373526509485816,0.0002978418792051846
29,0.9854166666666666,0.023477974311634658,0.9965277777777778,0.0043368041655544275,0.9849731246348158,0.024245204394812512,0.9965207074048092,0.004348458154770344
31,0.8416666666666668,0.02398096756921111,0.9308333333333332,0.014388580541526657,0.8211821897308239,0.02662539026908219,0.927495067143797,0.01609276897496065
33,0.96,0.010248644896874043,0.9745833333333334,0.008254838648399569,0.9598016800884162,0.010299082064468437,0.9744020250420403,0.008368226790358603
34,0.8541666666666667,0.03240906080438339,0.9104166666666667,0.017677669529663705,0.855009075590926,0.032008110072629825,0.9055436510827273,0.021115506772071146
35,0.9270833333333334,0.0,0.9458333333333333,0.005892556509887875,0.9263852221352169,0.000759239680311674,0.9445307844624622,0.00605237709248645
37,0.8729166666666667,,0.9416666666666667,,0.8673162054784599,,0.9335232668566001,
38,0.8583333333333333,0.04419417382415922,0.8916666666666666,0.017677669529663705,0.8574818462799861,0.044563077729218956,0.8893529189037799,0.02004705740824131
39,0.9208333333333333,,0.975,,0.9153590911172138,,0.9751159682364966,
40,0.7,,0.8041666666666667,,0.6524962345293588,,0.7572741380933673,
41,0.7833333333333333,,0.8791666666666667,,0.7701201472085853,,0.8692731071169423,
42,0.8625,,0.9395833333333333,,0.8612598916016919,,0.9391789567761831,
43,0.8930555555555556,0.04341805286761275,0.9777777777777779,0.012028130608117225,0.8834684734163051,0.05338049514526998,0.9775380078773792,0.012234900433706345
44,0.8645833333333334,,0.9145833333333333,,0.8626185751383026,,0.912849235177896,
45,0.8229166666666666,,0.8416666666666667,,0.8177435960966154,,0.8394605132231363,
46,0.8375,0.055979286843934974,0.90625,0.03830161731427135,0.8237176610885468,0.06960789370856255,0.9008296988178186,0.044853619884567986
49,0.9,,0.8895833333333333,,0.8675430010629461,,0.8612109098587978,
