pair,original_mean,original_std,improved_mean,improved_std,delta_mean
class_3_to_6,75.6,33.36398590629656,61.8,27.39342986922229,-13.799999999999997
class_6_to_3,86.7,31.580760669186617,82.6,39.867001113424344,-4.1000000000000085
