model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,host,gpu_local_id,cuda_visible_devices,pid
LeNet,1,1,43,0.0003,64,0.0001,10,10,10,0.8339309043240358,0.8339309043240358,0.8342261904761905,0.7518589195751009,0.7518589195751009,0.4755124624237815,0.7518589195751009,0.0,0.818671662004876,0.012484486095950131,0.8339309043240358,80.03373870812356,73726,,,0.05,ok,,,ubuntu,0,0,221591
LeNet,1,2,44,0.0002,64,0.0005,10,10,10,0.7994830044041926,0.7994830044041926,0.799702380952381,0.8167539806593032,0.8167539806593032,0.5423305300931966,0.8167539806593032,0.0,0.7839964785958482,0.010750569623695711,0.7994830044041926,75.89942786283791,73726,,,0.05,ok,,,ubuntu,1,1,221592
LeNet,1,3,45,0.0003,16,5e-05,10,10,10,0.8396818709947095,0.8396818709947095,0.8395833333333333,0.740033595193,0.740033595193,0.41648151465824673,0.740033595193,0.0,0.8215008793986254,0.010496597061591987,0.8396818709947095,115.69182302802801,73726,,,0.05,ok,,,ubuntu,2,2,221593
LeNet,1,4,46,0.0001,32,0.0005,10,10,10,0.7813012620434064,0.7813012620434064,0.7827380952380952,0.8441623934677669,0.8441623934677669,0.5980424129395258,0.8441623934677669,0.0,0.7595544244227675,0.013097724235005163,0.7813012620434064,90.11015581339598,73726,,,0.05,ok,,,ubuntu,3,3,221594
LeNet,1,5,47,0.0002,16,0.0005,10,10,9,0.8383313393633077,0.8383313393633077,0.8386904761904762,0.725929793715477,0.7342770584992,0.4701478762853713,0.725929793715477,0.008347264783723052,0.8295769469537241,0.009478475709830595,0.838323085165802,119.9482556246221,73726,,,0.05,ok,,,ubuntu,4,4,221595
LeNet,1,6,48,0.0001,16,0.0005,10,10,10,0.8336072470569621,0.8336072470569621,0.8336309523809524,0.7445945319675263,0.7445945319675263,0.5257271008832114,0.7445945319675263,0.0,0.8077943968043563,0.015948265269920527,0.8336072470569621,119.58587873540819,73726,,,0.05,ok,,,ubuntu,5,5,221596
LeNet,1,7,49,0.0003,16,0.0003,10,10,10,0.8409005858630222,0.8409005858630222,0.8404761904761905,0.755901841322581,0.755901841322581,0.3890751796676999,0.755901841322581,0.0,0.8345294147192532,0.005216227949614296,0.8409005858630222,116.53201527893543,73726,,,0.05,ok,,,ubuntu,6,6,221597
LeNet,1,8,50,0.0005,16,0.0001,10,10,9,0.8528326182892604,0.8528326182892604,0.8532738095238095,0.7231989314158758,0.7562997636340913,0.38900389838786353,0.7231989314158758,0.03310083221821558,0.8351827386847083,0.010836166932065478,0.8404601163728187,118.79558566771448,73726,,,0.05,ok,,,ubuntu,7,7,221598
LeNet,1,9,51,0.0002,16,5e-05,10,10,10,0.8368001165394005,0.8368001165394005,0.837202380952381,0.7581407109896342,0.7581407109896342,0.4452887344928015,0.7581407109896342,0.0,0.8237597048880945,0.008856582964693346,0.8368001165394005,112.8291371203959,73726,,,0.05,ok,,,ubuntu,1,1,227157
LeNet,1,10,52,0.0001,16,0.0001,10,10,9,0.815055119028394,0.815055119028394,0.8145833333333333,0.8033748632385618,0.7819832794723056,0.5501422322647912,0.8033748632385618,-0.02139158376625616,0.8009010188387773,0.01280099692129889,0.8106012805272726,118.25474105402827,73726,,,0.05,ok,,,ubuntu,0,0,227309
LeNet,1,11,53,0.0003,64,0.0005,10,10,9,0.8203916301739138,0.8203916301739138,0.8202380952380952,0.7841614399637494,0.8023189198403131,0.5162916137011786,0.7841614399637494,0.018157479876563687,0.8076871561179597,0.011402391205428977,0.8142680664606189,83.81593808345497,73726,,,0.05,ok,,,ubuntu,3,3,227866
LeNet,1,12,54,0.0001,32,0.0001,10,10,9,0.7843800333341401,0.7843800333341401,0.7860119047619047,0.8462667371545519,0.8570688242004031,0.610244301046644,0.8462667371545519,0.010802087045851172,0.7706248867704509,0.01327085731545782,0.7775193526172733,90.13747453317046,73726,,,0.05,ok,,,ubuntu,2,2,229224
