epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_f1,val_macro_f1,lr,epoch_time_s,cum_time_s,is_best
1.0,0.8115990139756883,0.9420238095238095,0.9415821242910446,0.6671685743899572,0.8669642857142857,0.8665812367305136,0.8665812367305136,0.0007,41.35790899209678,41.35790899209678,1.0
2.0,0.5214724208059766,0.9645833333333333,0.9645153455566721,0.5896996960753487,0.8982142857142857,0.8976828573891281,0.8976828573891281,0.0007,30.263307755813003,71.62121674790978,1.0
3.0,0.4582746643679483,0.9386309523809524,0.9382368817529745,0.6339034917808715,0.8738095238095238,0.8690481873080352,0.8690481873080352,0.0007,30.741484824568033,102.36270157247782,0.0
4.0,0.42622216579459965,0.9721428571428572,0.9722013579315704,0.609339264744804,0.893154761904762,0.8926761044652244,0.8926761044652244,0.0007,34.27251128293574,136.63521285541356,0.0
5.0,0.40403477614834193,0.9842261904761904,0.984220976732352,0.6484030401422864,0.8785714285714286,0.878784150739791,0.878784150739791,0.00035,31.580647837370634,168.2158606927842,0.0
6.0,0.33949761475835527,0.9953571428571428,0.9953578617428019,0.5781834652026494,0.905952380952381,0.9055415489367236,0.9055415489367236,0.00035,26.537620455026627,194.75348114781082,1.0
7.0,0.334410868372236,0.9953571428571428,0.9953544470868075,0.5626180059853054,0.9202380952380952,0.9199611018011867,0.9199611018011867,0.00035,27.617475539445877,222.3709566872567,1.0
8.0,0.32867276225771225,0.9973214285714286,0.9973213801839562,0.6026395286832537,0.9086309523809524,0.9084535052701769,0.9084535052701769,0.00035,32.578916212543845,254.94987289980054,0.0
9.0,0.3255542134103321,0.9941071428571429,0.9941073852871036,0.5562594933169228,0.9211309523809523,0.9209156462633666,0.9209156462633666,0.00035,33.449576837942004,288.39944973774254,1.0
10.0,0.3229942350728171,0.9940476190476191,0.9940460834823782,0.5638449630567006,0.9175595238095238,0.9165015183726902,0.9165015183726902,0.00035,29.585855323821306,317.98530506156385,0.0
