model,selected_trial_id,epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,epoch_time_s,cum_time_s,is_best
CNN_LSTM,3,1.0,1.1586344245501927,0.834047619047619,0.8341899724171511,0.8499118790740059,0.7559523809523809,0.7531151305298165,0.0003,46.182471588253975,46.182471588253975,1.0
CNN_LSTM,3,2.0,0.7016134379591261,0.8947619047619048,0.8936467346943605,0.7103852192560832,0.8333333333333334,0.831005817772218,0.0003,28.312035398557786,74.49450698681176,1.0
CNN_LSTM,3,3.0,0.6072865183012827,0.9217857142857144,0.9210686685628025,0.6434754944982983,0.8699404761904762,0.8685404187000528,0.0003,29.174103824421763,103.66861081123352,1.0
CNN_LSTM,3,4.0,0.5350403889020284,0.9545833333333332,0.9544999801233356,0.5904132931005387,0.8964285714285715,0.895808698017197,0.0003,29.76313069462776,133.43174150586128,1.0
CNN_LSTM,3,5.0,0.4793620028382256,0.9566666666666668,0.956603529572296,0.5971147500333331,0.8910714285714286,0.8912551501205771,0.0003,29.895097393542528,163.3268388994038,0.0
CNN_LSTM,3,6.0,0.4552690718287513,0.9722619047619048,0.9721428625871528,0.5773259387129829,0.9116071428571428,0.9109172538276328,0.0003,29.713012352585796,193.0398512519896,1.0
CNN_LSTM,3,7.0,0.4212270052092416,0.9498809523809524,0.9494555294754912,0.6400006024610428,0.8821428571428571,0.8819685620399166,0.0003,29.651145432144403,222.690996684134,0.0
CNN_LSTM,3,8.0,0.4055931935423896,0.9809523809523808,0.9809173978845436,0.5875820943287441,0.9107142857142856,0.910093681003398,0.0003,28.862845500931144,251.55384218506515,0.0
CNN_LSTM,3,9.0,0.3945013164906275,0.986547619047619,0.9865545781177794,0.5408118384225028,0.9214285714285714,0.9216270175995208,0.0003,29.810083338990808,281.363925524056,1.0
CNN_LSTM,3,10.0,0.3970785843758356,0.973154761904762,0.9730917135365704,0.6155632146767207,0.8982142857142857,0.8980532247714837,0.0003,29.51101952418685,310.8749450482428,0.0
CNN_LSTM,3,11.0,0.3769160256499336,0.989404761904762,0.9894109665926876,0.5957300941149394,0.9160714285714284,0.9153423059321896,0.0003,29.832924775779247,340.70786982402205,0.0
CNN_LSTM,3,12.0,0.3676865108240218,0.9900595238095238,0.99007855811251,0.5843929106280917,0.913095238095238,0.9133920811461262,0.00015,29.632583905011412,370.3404537290335,0.0
CNN_LSTM,3,13.0,0.3380279198714665,0.9983333333333332,0.9983332251491596,0.5696618153935387,0.9282738095238096,0.9284355027478814,0.00015,29.586598539724942,399.9270522687584,1.0
CNN_LSTM,3,14.0,0.3340595269770849,0.9972619047619048,0.9972623581753686,0.5977862247398922,0.9214285714285714,0.9209349959645744,0.00015,29.60133507475257,429.528387343511,0.0
CNN_LSTM,3,15.0,0.3329561785856882,0.9988690476190476,0.9988691735605124,0.5819157481193542,0.925595238095238,0.9254005943957048,7.5e-05,29.626310164108872,459.1546975076199,0.0
CNN_LSTM,3,16.0,0.3234857580207643,0.9992857142857144,0.9992856076280232,0.56351869844255,0.9330357142857144,0.9327817329529928,7.5e-05,29.33542844466865,488.4901259522885,1.0
CNN_LSTM,3,17.0,0.3212984402974446,0.9989880952380952,0.9989879027487616,0.5646539619990758,0.930654761904762,0.9302582612038862,7.5e-05,29.728475322946903,518.2186012752354,0.0
CNN_LSTM,3,18.0,0.3213566201073782,0.999345238095238,0.9993451737343164,0.5590413087890261,0.9330357142857144,0.9330062524222136,3.75e-05,29.79782628454268,548.0164275597781,1.0
EfficientNet_B0,2,1.0,1.331193609436353,0.8551190476190477,0.8506117055096355,0.8290222434770493,0.7880952380952381,0.7811105956175682,0.0003,170.0681862719357,170.0681862719357,1.0
EfficientNet_B0,2,2.0,0.7833736092277935,0.9116071428571428,0.911572839713671,0.6906050525250889,0.8523809523809524,0.8510149687818562,0.0003,155.79458148032427,325.86276775226,1.0
EfficientNet_B0,2,3.0,0.6337075594209489,0.9353571428571428,0.9350647373148112,0.6239084392786026,0.8875,0.887445557815035,0.0003,139.02863677963614,464.8914045318961,1.0
EfficientNet_B0,2,4.0,0.5475800633146649,0.9521428571428572,0.9517213662710118,0.6230057062847274,0.8788690476190476,0.8789136211063934,0.0003,154.18924395367503,619.0806484855711,0.0
EfficientNet_B0,2,5.0,0.5057938940610205,0.9689285714285716,0.9688795186227104,0.548035915905521,0.906547619047619,0.906970925526743,0.0003,131.94817490503192,751.0288233906031,1.0
EfficientNet_B0,2,6.0,0.465728402691228,0.9735714285714284,0.9735461554040308,0.5104589317526136,0.9208333333333332,0.9207850180684268,0.0003,145.47886268422008,896.5076860748231,1.0
