epoch,train_loss,val_loss,val_acc,val_f1,lr,epoch_time_s,cum_time_s
1.0,0.7038178759316603,0.8079460400980706,0.7738095238095238,0.775302928968678,0.0002,237.58748306520283,237.58748306520283
2.0,0.2839740071197351,0.7796350596765058,0.7869047619047619,0.7866088729417414,0.0002,228.05160051211715,465.63908357732
3.0,0.19858515972892443,1.1092687470750022,0.7886904761904762,0.7883749320551691,0.0002,229.16745105944574,694.8065346367657
4.0,0.1514458878906,1.4686721022804206,0.8,0.799673004340085,0.0002,229.3445183802396,924.1510530170053
5.0,0.14007636064574833,0.9672485068419335,0.8291666666666667,0.8301138213598339,0.0001,228.1242146976292,1152.2752677146345
6.0,0.03644730303968702,1.086466611197316,0.8425595238095238,0.8412822783406907,0.0001,229.0863990765065,1381.361666791141
7.0,0.02772730604523704,1.66784225172541,0.8229166666666666,0.823521203724063,0.0001,231.37826009467244,1612.7399268858135
8.0,0.024779251700355893,1.7007810183421463,0.8455357142857143,0.8450141739313128,5e-05,241.64067115448415,1854.3805980402976
9.0,0.003902954991374697,1.681873826405362,0.8580357142857142,0.8576824424842654,5e-05,242.0236985757947,2096.4042966160923
10.0,0.003239337511005856,1.8792795797996202,0.8514880952380952,0.8514898017751226,5e-05,244.82234057970345,2341.226637195796
11.0,0.0025569950327986764,2.019749595101639,0.8547619047619047,0.854526311931295,2.5e-05,242.42755560204387,2583.6541927978396
12.0,0.0011270819178649358,2.301233272758164,0.8541666666666666,0.8538572581019418,2.5e-05,233.27396177500486,2816.9281545728445
13.0,0.0009265861482847305,2.591664294887455,0.8547619047619047,0.8544409657015194,2.5e-05,234.68758510239422,3051.6157396752387
14.0,0.0010366790351413544,2.8978864398840476,0.8538690476190476,0.8536292046382745,1.25e-05,225.68250597640872,3277.2982456516474
15.0,0.0011849457380317507,3.0614889107130443,0.8559523809523809,0.8556362121086031,1.25e-05,227.88763056881726,3505.1858762204647
16.0,0.0012937201346669878,3.2371973917816335,0.856547619047619,0.8562497374583439,1.25e-05,228.278609957546,3733.4644861780107
17.0,0.0014025310817218962,3.4250001353820627,0.856845238095238,0.8565572543062574,6.25e-06,225.13362904824317,3958.598115226254
18.0,0.0015355284937790463,3.47224160754294,0.8574404761904761,0.8571451593354439,6.25e-06,246.84064796194434,4205.438763188198
19.0,0.0015941221160548074,3.508598611724096,0.8577380952380952,0.8574640351721411,6.25e-06,276.4925062097609,4481.931269397959
20.0,0.0015959821854318892,3.5366382622098005,0.8571428571428571,0.8568375532647187,3.125e-06,258.4800355155021,4740.411304913461
21.0,0.0016024925737153917,3.547392422210651,0.8574404761904761,0.8570996045238045,3.125e-06,239.39067896455526,4979.8019838780165
22.0,0.001603422633239201,3.5580203595688564,0.8571428571428571,0.8567916013700657,3.125e-06,254.05940501205623,5233.861388890073
23.0,0.0016062127976190477,3.5676173528748527,0.856845238095238,0.8564991311524345,1.5625e-06,258.9105777014047,5492.771966591477
24.0,0.0016071428571428571,3.572193319861354,0.856845238095238,0.8564991311524345,1.5625e-06,241.08183882944286,5733.85380542092
25.0,0.0016071428571428571,3.5766816774523287,0.856845238095238,0.8564991311524345,1.5625e-06,243.22350311651826,5977.0773085374385
